Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,14.531,10946100.0,-90.279
-1.9,14.539,10952300.0,-90.291
-1.8,14.54,10952300.0,-90.29
-1.7,14.54,10950700.0,-90.307
-1.6,14.537,10952300.0,-90.262
-1.5,14.536,10946800.0,-90.276
-1.4,14.537,10948800.0,-90.308
-1.3,14.539,10952900.0,-90.306
-1.2,14.536,10949600.0,-90.291
-1.1,14.536,10955100.0,-90.246
-1.0,14.537,10943100.0,-90.264
-0.9,14.537,10947000.0,-90.303
-0.8,14.538,10946200.0,-90.296
-0.7,14.533,10947100.0,-90.294
-0.6,14.543,10954000.0,-90.251
-0.5,14.535,10945900.0,-90.248
-0.4,14.529,10944900.0,-90.288
-0.3,14.532,10942100.0,-90.277
-0.2,14.528,10942800.0,-90.285
-0.1,14.545,10957400.0,-90.266
0.0,14.532,10947200.0,-90.254
0.1,14.532,10942500.0,-90.269
0.2,14.53,10944100.0,-90.26
0.3,14.531,10943200.0,-90.28
0.4,14.542,10954100.0,-90.251
0.5,14.532,10950700.0,-90.244
0.6,14.53,10944200.0,-90.267
0.7,14.531,10944900.0,-90.28
0.8,14.532,10943300.0,-90.271
0.9,14.544,10951300.0,-90.261
1.0,14.537,10947900.0,-90.247
1.1,14.536,10944100.0,-90.282
1.2,14.536,10940900.0,-90.285
1.3,14.538,10943000.0,-90.274
1.4,14.541,10953800.0,-90.253
1.5,14.537,10947600.0,-90.25
1.6,14.539,10943600.0,-90.291
1.7,14.54,10941700.0,-90.28
1.8,14.538,10948300.0,-90.275
1.9,14.541,10956300.0,-90.259
2.0,14.531,10950400.0,-90.242
2.1,14.538,10945300.0,-90.284
2.2,14.533,10943600.0,-90.278
2.3,14.537,10944900.0,-90.284
2.4,14.547,10952500.0,-90.264
2.5,14.537,10951400.0,-90.258
2.6,14.527,10941500.0,-90.273
2.7,14.529,10944800.0,-90.287
2.8,14.533,10945400.0,-90.281
2.9,14.546,10953200.0,-90.268
3.0,14.54,10947900.0,-90.268
