Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.583,9596580.000,-90.015
-1.900,16.584,9595960.000,-90.028
-1.800,16.585,9598480.000,-90.004
-1.700,16.583,9598870.000,-89.994
-1.600,16.577,9601810.000,-90.012
-1.500,16.569,9602240.000,-89.979
-1.400,16.575,9604140.000,-90.029
-1.300,16.571,9605270.000,-90.022
-1.200,16.569,9603140.000,-90.021
-1.100,16.585,9603230.000,-90.008
-1.000,16.576,9604510.000,-90.067
-0.900,16.566,9601070.000,-90.011
-0.800,16.565,9600230.000,-90.027
-0.700,16.566,9600510.000,-90.018
-0.600,16.585,9599530.000,-90.015
-0.500,16.584,9591410.000,-90.005
-0.400,16.570,9601970.000,-90.042
-0.300,16.575,9599480.000,-90.053
-0.200,16.581,9598500.000,-90.042
-0.100,16.574,9599280.000,-90.021
0.000,16.578,9604570.000,-90.019
0.100,16.585,9594770.000,-90.014
0.200,16.588,9593800.000,-90.014
0.300,16.590,9597030.000,-89.994
0.400,16.573,9592910.000,-90.000
0.500,16.578,9596640.000,-90.049
0.600,16.589,9600150.000,-89.998
0.700,16.585,9602230.000,-89.994
0.800,16.584,9602150.000,-90.019
0.900,16.581,9603170.000,-89.984
1.000,16.580,9600640.000,-89.978
1.100,16.583,9594920.000,-90.030
1.200,16.577,9593450.000,-90.009
1.300,16.574,9592820.000,-89.985
1.400,16.590,9597900.000,-90.053
1.500,16.580,9600970.000,-90.027
1.600,16.567,9606300.000,-89.976
1.700,16.567,9608300.000,-89.987
1.800,16.565,9607710.000,-90.009
1.900,16.577,9601480.000,-89.974
2.000,16.572,9599380.000,-90.007
2.100,16.568,9600050.000,-90.058
2.200,16.573,9596510.000,-90.040
2.300,16.578,9596320.000,-90.008
2.400,16.565,9598730.000,-90.044
2.500,16.577,9600770.000,-90.014
2.600,16.583,9604640.000,-90.011
2.700,16.588,9605710.000,-90.026
2.800,16.584,9601300.000,-90.030
2.900,16.581,9602040.000,-90.021
3.000,16.582,9596650.000,-90.024
#,#,#,#
