Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,13.605,11694200.000,-90.280
-1.900,13.603,11694200.000,-90.318
-1.800,13.605,11693200.000,-90.297
-1.700,13.602,11695200.000,-90.286
-1.600,13.604,11699400.000,-90.285
-1.500,13.607,11696000.000,-90.270
-1.400,13.605,11692500.000,-90.284
-1.300,13.600,11692400.000,-90.285
-1.200,13.606,11691800.000,-90.270
-1.100,13.607,11695800.000,-90.290
-1.000,13.606,11694400.000,-90.288
-0.900,13.604,11693000.000,-90.284
-0.800,13.606,11694800.000,-90.277
-0.700,13.604,11697300.000,-90.265
-0.600,13.608,11693800.000,-90.281
-0.500,13.607,11693000.000,-90.275
-0.400,13.612,11695200.000,-90.278
-0.300,13.611,11695400.000,-90.286
-0.200,13.612,11695700.000,-90.297
-0.100,13.607,11699300.000,-90.251
0.000,13.612,11695500.000,-90.273
0.100,13.613,11695400.000,-90.278
0.200,13.608,11696000.000,-90.266
0.300,13.608,11694600.000,-90.273
0.400,13.613,11697900.000,-90.255
0.500,13.609,11696300.000,-90.252
0.600,13.610,11700200.000,-90.267
0.700,13.606,11697700.000,-90.271
0.800,13.606,11695400.000,-90.269
0.900,13.604,11695100.000,-90.278
1.000,13.602,11699600.000,-90.281
1.100,13.606,11696900.000,-90.266
1.200,13.606,11698600.000,-90.265
1.300,13.604,11696300.000,-90.284
1.400,13.606,11697400.000,-90.282
1.500,13.607,11699500.000,-90.283
1.600,13.607,11700800.000,-90.278
1.700,13.609,11700300.000,-90.275
1.800,13.610,11696500.000,-90.266
1.900,13.605,11695800.000,-90.294
2.000,13.605,11697200.000,-90.290
2.100,13.604,11694300.000,-90.283
2.200,13.605,11696500.000,-90.298
2.300,13.605,11695300.000,-90.300
2.400,13.606,11694400.000,-90.284
2.500,13.604,11692000.000,-90.292
2.600,13.607,11692100.000,-90.290
2.700,13.604,11694300.000,-90.294
2.800,13.607,11693400.000,-90.281
2.900,13.601,11695000.000,-90.287
3.000,13.606,11692100.000,-90.279
#,#,#,#
