Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,16.073,9895620.0,-90.041
-1.9,16.071,9903890.0,-90.049
-1.8,16.076,9904590.0,-90.044
-1.7,16.077,9902160.0,-90.03
-1.6,16.075,9895400.0,-89.997
-1.5,16.084,9894670.0,-90.043
-1.4,16.087,9901330.0,-90.005
-1.3,16.089,9901850.0,-90.01
-1.2,16.091,9901630.0,-90.007
-1.1,16.079,9891680.0,-90.023
-1.0,16.079,9894140.0,-90.06
-0.9,16.093,9899260.0,-89.991
-0.8,16.093,9895740.0,-90.013
-0.7,16.09,9896490.0,-90.005
-0.6,16.085,9897030.0,-90.035
-0.5,16.077,9897370.0,-90.04
-0.4,16.087,9889560.0,-90.013
-0.3,16.087,9889930.0,-90.005
-0.2,16.084,9888650.0,-90.033
-0.1,16.089,9895300.0,-90.026
0.0,16.083,9898020.0,-89.999
0.1,16.082,9893540.0,-90.019
0.2,16.081,9892480.0,-90.027
0.3,16.077,9893840.0,-90.016
0.4,16.091,9894790.0,-90.007
0.5,16.077,9896370.0,-89.984
0.6,16.075,9898400.0,-90.006
0.7,16.072,9897190.0,-90.001
0.8,16.076,9897730.0,-90.009
0.9,16.092,9893060.0,-90.027
1.0,16.08,9897090.0,-89.988
1.1,16.069,9896350.0,-90.004
1.2,16.072,9895150.0,-90.013
1.3,16.071,9894920.0,-90.005
1.4,16.091,9895670.0,-90.03
1.5,16.078,9895500.0,-90.032
1.6,16.068,9895240.0,-90.018
1.7,16.069,9897020.0,-90.023
1.8,16.074,9896200.0,-90.022
1.9,16.085,9897970.0,-90.028
2.0,16.082,9893720.0,-90.031
2.1,16.073,9894560.0,-90.017
2.2,16.075,9894350.0,-90.018
2.3,16.073,9896690.0,-90.037
2.4,16.085,9900680.0,-90.032
2.5,16.08,9894620.0,-90.019
2.6,16.077,9892950.0,-90.028
2.7,16.077,9893070.0,-90.039
2.8,16.078,9893790.0,-90.028
2.9,16.088,9897390.0,-90.055
3.0,16.082,9892850.0,-90.027
