Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,16.189,9828190.0,-90.187
-1.9,16.195,9831920.0,-90.233
-1.8,16.196,9829210.0,-90.236
-1.7,16.198,9830960.0,-90.213
-1.6,16.196,9836930.0,-90.201
-1.5,16.193,9838250.0,-90.152
-1.4,16.183,9822870.0,-90.145
-1.3,16.189,9826250.0,-90.145
-1.2,16.196,9829530.0,-90.121
-1.1,16.192,9820590.0,-90.186
-1.0,16.2,9829700.0,-90.215
-0.9,16.187,9838910.0,-90.172
-0.8,16.197,9840020.0,-90.183
-0.7,16.195,9835540.0,-90.201
-0.6,16.201,9834470.0,-90.135
-0.5,16.184,9829250.0,-90.161
-0.4,16.182,9826180.0,-90.24
-0.3,16.186,9822150.0,-90.235
-0.2,16.192,9823020.0,-90.202
-0.1,16.182,9828980.0,-90.229
0.0,16.186,9829600.0,-90.178
0.1,16.197,9826520.0,-90.144
0.2,16.186,9826480.0,-90.157
0.3,16.185,9829190.0,-90.165
0.4,16.191,9823100.0,-90.148
0.5,16.192,9832040.0,-90.197
0.6,16.196,9826930.0,-90.191
0.7,16.204,9827060.0,-90.175
0.8,16.207,9826970.0,-90.161
0.9,16.196,9827380.0,-90.168
1.0,16.187,9823550.0,-90.192
1.1,16.183,9828360.0,-90.182
1.2,16.191,9831050.0,-90.176
1.3,16.192,9831690.0,-90.178
1.4,16.19,9832200.0,-90.177
1.5,16.202,9834990.0,-90.161
1.6,16.194,9831250.0,-90.182
1.7,16.194,9829030.0,-90.158
1.8,16.188,9832470.0,-90.163
1.9,16.197,9828240.0,-90.174
2.0,16.178,9822310.0,-90.194
2.1,16.192,9830820.0,-90.187
2.2,16.193,9831890.0,-90.201
2.3,16.19,9828990.0,-90.213
2.4,16.191,9835460.0,-90.186
2.5,16.201,9834470.0,-90.123
2.6,16.188,9824150.0,-90.162
2.7,16.195,9824810.0,-90.157
2.8,16.2,9828390.0,-90.166
2.9,16.18,9829760.0,-90.213
3.0,16.176,9835900.0,-90.222
