Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,14.191,11208200.000,-90.229
-1.900,14.198,11207300.000,-90.235
-1.800,14.196,11208500.000,-90.250
-1.700,14.197,11209500.000,-90.230
-1.600,14.206,11206000.000,-90.251
-1.500,14.209,11205200.000,-90.242
-1.400,14.197,11210300.000,-90.222
-1.300,14.200,11206600.000,-90.238
-1.200,14.198,11209000.000,-90.250
-1.100,14.197,11206700.000,-90.255
-1.000,14.203,11209500.000,-90.265
-0.900,14.204,11210600.000,-90.278
-0.800,14.203,11212700.000,-90.253
-0.700,14.200,11213800.000,-90.247
-0.600,14.198,11208300.000,-90.233
-0.500,14.200,11207700.000,-90.253
-0.400,14.210,11208600.000,-90.246
-0.300,14.210,11206600.000,-90.247
-0.200,14.207,11203700.000,-90.245
-0.100,14.204,11206600.000,-90.272
0.000,14.199,11208600.000,-90.266
0.100,14.210,11205500.000,-90.255
0.200,14.206,11201500.000,-90.279
0.300,14.203,11206000.000,-90.277
0.400,14.209,11213100.000,-90.246
0.500,14.194,11208700.000,-90.254
0.600,14.206,11212800.000,-90.273
0.700,14.203,11210000.000,-90.263
0.800,14.209,11210500.000,-90.246
0.900,14.204,11200900.000,-90.242
1.000,14.193,11205500.000,-90.250
1.100,14.204,11210400.000,-90.204
1.200,14.204,11205900.000,-90.200
1.300,14.206,11202400.000,-90.223
1.400,14.203,11205100.000,-90.257
1.500,14.194,11209900.000,-90.238
1.600,14.204,11200800.000,-90.247
1.700,14.206,11202200.000,-90.255
1.800,14.201,11203000.000,-90.268
1.900,14.197,11213600.000,-90.222
2.000,14.193,11205000.000,-90.224
2.100,14.202,11207800.000,-90.274
2.200,14.207,11212100.000,-90.268
2.300,14.206,11211400.000,-90.263
2.400,14.199,11209200.000,-90.209
2.500,14.194,11204500.000,-90.237
2.600,14.201,11210600.000,-90.240
2.700,14.198,11211000.000,-90.237
2.800,14.201,11209300.000,-90.256
2.900,14.203,11206100.000,-90.245
3.000,14.203,11202500.000,-90.251
#,#,#,#
