Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,15.915,10006000.0,-90.244
-1.9,15.919,10002300.0,-90.207
-1.8,15.926,10003300.0,-90.24
-1.7,15.92,10005100.0,-90.253
-1.6,15.921,10004200.0,-90.202
-1.5,15.915,10002600.0,-90.226
-1.4,15.905,9999250.0,-90.245
-1.3,15.915,9998570.0,-90.222
-1.2,15.917,10000600.0,-90.216
-1.1,15.918,9997470.0,-90.226
-1.0,15.918,10004600.0,-90.209
-0.9,15.91,10002000.0,-90.222
-0.8,15.915,9996370.0,-90.219
-0.7,15.914,10000900.0,-90.224
-0.6,15.919,9999730.0,-90.223
-0.5,15.92,10000500.0,-90.263
-0.4,15.916,10003200.0,-90.22
-0.3,15.922,10003100.0,-90.222
-0.2,15.909,10005500.0,-90.242
-0.1,15.922,10003800.0,-90.204
0.0,15.915,10004300.0,-90.2
0.1,15.909,9999720.0,-90.23
0.2,15.916,9999480.0,-90.205
0.3,15.92,10001400.0,-90.213
0.4,15.921,9999780.0,-90.231
0.5,15.912,10002200.0,-90.24
0.6,15.901,10008300.0,-90.209
0.7,15.907,10005700.0,-90.223
0.8,15.912,10006700.0,-90.236
0.9,15.905,10003900.0,-90.187
1.0,15.914,10000200.0,-90.208
1.1,15.91,10002100.0,-90.261
1.2,15.909,9997860.0,-90.266
1.3,15.911,10000100.0,-90.252
1.4,15.91,10004500.0,-90.251
1.5,15.919,10007500.0,-90.229
1.6,15.914,9998830.0,-90.204
1.7,15.913,10003600.0,-90.195
1.8,15.914,10003200.0,-90.199
1.9,15.917,9997370.0,-90.231
2.0,15.908,10001500.0,-90.244
2.1,15.907,10011300.0,-90.255
2.2,15.907,10007900.0,-90.257
2.3,15.913,10003700.0,-90.266
2.4,15.907,9999130.0,-90.205
2.5,15.909,10001200.0,-90.224
2.6,15.923,9997530.0,-90.247
2.7,15.912,9997640.0,-90.266
2.8,15.905,9994240.0,-90.229
2.9,15.915,9999720.0,-90.251
3.0,15.919,9999620.0,-90.222
