Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,14.395,11058500.0,-90.282
-1.9,14.39,11064500.0,-90.301
-1.8,14.391,11062500.0,-90.295
-1.7,14.393,11062000.0,-90.296
-1.6,14.385,11064800.0,-90.271
-1.5,14.379,11062600.0,-90.244
-1.4,14.39,11060100.0,-90.295
-1.3,14.393,11055900.0,-90.3
-1.2,14.389,11055300.0,-90.283
-1.1,14.384,11065200.0,-90.327
-1.0,14.381,11066100.0,-90.256
-0.9,14.39,11054300.0,-90.247
-0.8,14.389,11053300.0,-90.254
-0.7,14.387,11056400.0,-90.237
-0.6,14.388,11056100.0,-90.294
-0.5,14.38,11065300.0,-90.271
-0.4,14.388,11060000.0,-90.233
-0.3,14.391,11060500.0,-90.234
-0.2,14.39,11061500.0,-90.234
-0.1,14.393,11052500.0,-90.243
0.0,14.381,11059300.0,-90.281
0.1,14.387,11069100.0,-90.244
0.2,14.388,11065300.0,-90.255
0.3,14.39,11067600.0,-90.263
0.4,14.393,11054400.0,-90.218
0.5,14.387,11057800.0,-90.258
0.6,14.39,11067900.0,-90.28
0.7,14.39,11065600.0,-90.298
0.8,14.393,11064500.0,-90.28
0.9,14.391,11064500.0,-90.232
1.0,14.387,11059200.0,-90.266
1.1,14.391,11060000.0,-90.277
1.2,14.39,11058700.0,-90.283
1.3,14.388,11061000.0,-90.284
1.4,14.395,11066700.0,-90.248
1.5,14.389,11059800.0,-90.241
1.6,14.387,11060500.0,-90.274
1.7,14.379,11063800.0,-90.283
1.8,14.38,11061700.0,-90.278
1.9,14.391,11068500.0,-90.256
2.0,14.387,11060500.0,-90.255
2.1,14.38,11063000.0,-90.284
2.2,14.381,11062700.0,-90.295
2.3,14.38,11063700.0,-90.302
2.4,14.391,11064400.0,-90.258
2.5,14.39,11063100.0,-90.273
2.6,14.382,11063400.0,-90.304
2.7,14.38,11062000.0,-90.297
2.8,14.384,11059800.0,-90.306
2.9,14.382,11062800.0,-90.264
3.0,14.39,11057500.0,-90.261
