Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,15.915,9991680.0,-90.233
-1.9,15.92,9990680.0,-90.239
-1.8,15.92,9988450.0,-90.221
-1.7,15.919,9989190.0,-90.204
-1.6,15.928,9991020.0,-90.251
-1.5,15.921,9995620.0,-90.258
-1.4,15.918,9994840.0,-90.186
-1.3,15.916,9994940.0,-90.205
-1.2,15.908,9995670.0,-90.19
-1.1,15.931,9987680.0,-90.203
-1.0,15.927,9988110.0,-90.234
-0.9,15.911,9998960.0,-90.213
-0.8,15.912,9997230.0,-90.238
-0.7,15.913,9995900.0,-90.239
-0.6,15.927,9997840.0,-90.193
-0.5,15.928,9989140.0,-90.194
-0.4,15.922,9991850.0,-90.252
-0.3,15.923,9991230.0,-90.254
-0.2,15.93,9991160.0,-90.255
-0.1,15.913,10001800.0,-90.21
0.0,15.925,9996330.0,-90.185
0.1,15.94,9988460.0,-90.23
0.2,15.938,9988450.0,-90.215
0.3,15.934,9990450.0,-90.225
0.4,15.931,9995190.0,-90.281
0.5,15.93,10002700.0,-90.246
0.6,15.926,9990360.0,-90.188
0.7,15.922,9992920.0,-90.187
0.8,15.919,9992760.0,-90.197
0.9,15.935,9987700.0,-90.268
1.0,15.918,9997790.0,-90.254
1.1,15.917,9993850.0,-90.195
1.2,15.925,9998660.0,-90.192
1.3,15.925,9999290.0,-90.206
1.4,15.924,9987060.0,-90.223
1.5,15.933,9991730.0,-90.237
1.6,15.928,9998410.0,-90.243
1.7,15.929,10001400.0,-90.243
1.8,15.926,9999250.0,-90.254
1.9,15.925,9991840.0,-90.203
2.0,15.927,9984590.0,-90.227
2.1,15.92,9998020.0,-90.256
2.2,15.923,9995840.0,-90.234
2.3,15.925,9995640.0,-90.246
2.4,15.919,9995570.0,-90.192
2.5,15.914,9989450.0,-90.213
2.6,15.927,9993380.0,-90.255
2.7,15.932,9995150.0,-90.251
2.8,15.927,9991380.0,-90.242
2.9,15.922,9999360.0,-90.23
3.0,15.932,9993080.0,-90.193
