Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.262,9791200.000,-90.209
-1.900,16.267,9790340.000,-90.188
-1.800,16.260,9788800.000,-90.188
-1.700,16.262,9784620.000,-90.213
-1.600,16.270,9786860.000,-90.216
-1.500,16.267,9790450.000,-90.163
-1.400,16.263,9787040.000,-90.211
-1.300,16.273,9784080.000,-90.230
-1.200,16.275,9786240.000,-90.216
-1.100,16.256,9787410.000,-90.209
-1.000,16.262,9779500.000,-90.233
-0.900,16.253,9783280.000,-90.197
-0.800,16.254,9785600.000,-90.192
-0.700,16.254,9784900.000,-90.210
-0.600,16.278,9789490.000,-90.209
-0.500,16.260,9791170.000,-90.198
-0.400,16.278,9786530.000,-90.189
-0.300,16.270,9788580.000,-90.177
-0.200,16.264,9786920.000,-90.161
-0.100,16.269,9782190.000,-90.215
0.000,16.275,9784650.000,-90.215
0.100,16.264,9778590.000,-90.211
0.200,16.270,9782320.000,-90.217
0.300,16.273,9785530.000,-90.232
0.400,16.263,9790580.000,-90.163
0.500,16.265,9780890.000,-90.187
0.600,16.267,9792780.000,-90.171
0.700,16.267,9792360.000,-90.165
0.800,16.269,9785170.000,-90.150
0.900,16.268,9785460.000,-90.234
1.000,16.261,9789170.000,-90.180
1.100,16.264,9780660.000,-90.236
1.200,16.261,9786340.000,-90.241
1.300,16.258,9790210.000,-90.208
1.400,16.276,9784680.000,-90.168
1.500,16.266,9784700.000,-90.208
1.600,16.270,9786470.000,-90.151
1.700,16.272,9782430.000,-90.153
1.800,16.268,9779050.000,-90.168
1.900,16.252,9791480.000,-90.218
2.000,16.263,9789690.000,-90.168
2.100,16.252,9788270.000,-90.209
2.200,16.249,9790820.000,-90.194
2.300,16.257,9789110.000,-90.193
2.400,16.263,9786560.000,-90.226
2.500,16.263,9784170.000,-90.239
2.600,16.270,9787280.000,-90.220
2.700,16.271,9788910.000,-90.222
2.800,16.270,9793010.000,-90.212
2.900,16.250,9784370.000,-90.183
3.000,16.271,9786620.000,-90.199
#,#,#,#
