Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,15.716,10130800.0,-89.989
-1.9,15.717,10136600.0,-89.969
-1.8,15.717,10132100.0,-89.971
-1.7,15.709,10129800.0,-89.961
-1.6,15.713,10130700.0,-89.97
-1.5,15.725,10126700.0,-89.997
-1.4,15.706,10131800.0,-89.994
-1.3,15.708,10133600.0,-89.992
-1.2,15.709,10133600.0,-89.976
-1.1,15.714,10128100.0,-89.958
-1.0,15.72,10126700.0,-89.949
-0.9,15.716,10126600.0,-89.965
-0.8,15.718,10120300.0,-89.966
-0.7,15.716,10125600.0,-89.999
-0.6,15.718,10137500.0,-89.969
-0.5,15.721,10134500.0,-89.954
-0.4,15.722,10132300.0,-89.987
-0.3,15.72,10135400.0,-89.949
-0.2,15.719,10131100.0,-89.948
-0.1,15.716,10127500.0,-89.993
0.0,15.705,10129800.0,-89.977
0.1,15.716,10123400.0,-89.953
0.2,15.715,10124700.0,-89.998
0.3,15.713,10126700.0,-90.001
0.4,15.717,10130600.0,-89.963
0.5,15.717,10121600.0,-89.95
0.6,15.708,10135400.0,-89.963
0.7,15.708,10134800.0,-89.954
0.8,15.711,10132600.0,-89.953
0.9,15.706,10126900.0,-89.958
1.0,15.713,10126800.0,-89.997
1.1,15.714,10125100.0,-89.942
1.2,15.712,10123000.0,-89.932
1.3,15.706,10125000.0,-89.948
1.4,15.708,10134100.0,-89.95
1.5,15.72,10130400.0,-89.917
1.6,15.705,10125600.0,-89.974
1.7,15.71,10129200.0,-89.981
1.8,15.723,10132400.0,-89.951
1.9,15.708,10129300.0,-89.957
2.0,15.707,10127500.0,-89.949
2.1,15.715,10128200.0,-89.944
2.2,15.71,10127800.0,-89.957
2.3,15.705,10126600.0,-89.975
2.4,15.719,10134300.0,-89.978
2.5,15.711,10136400.0,-89.983
2.6,15.709,10130400.0,-89.972
2.7,15.716,10137500.0,-89.967
2.8,15.724,10135000.0,-89.981
2.9,15.71,10124700.0,-89.99
3.0,15.718,10127800.0,-89.983
