Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,14.128,11257400.0,-90.244
-1.9,14.136,11255200.0,-90.269
-1.8,14.134,11253500.0,-90.261
-1.7,14.134,11254800.0,-90.233
-1.6,14.132,11264300.0,-90.23
-1.5,14.137,11258400.0,-90.237
-1.4,14.136,11255000.0,-90.24
-1.3,14.133,11254400.0,-90.243
-1.2,14.135,11257400.0,-90.261
-1.1,14.134,11262900.0,-90.228
-1.0,14.143,11260300.0,-90.198
-0.9,14.13,11261100.0,-90.241
-0.8,14.129,11262300.0,-90.236
-0.7,14.132,11265700.0,-90.242
-0.6,14.133,11260400.0,-90.208
-0.5,14.136,11258100.0,-90.233
-0.4,14.136,11266900.0,-90.219
-0.3,14.133,11265900.0,-90.214
-0.2,14.133,11263100.0,-90.208
-0.1,14.132,11255200.0,-90.234
0.0,14.125,11263900.0,-90.269
0.1,14.133,11264700.0,-90.221
0.2,14.133,11258400.0,-90.218
0.3,14.133,11262100.0,-90.214
0.4,14.127,11264400.0,-90.241
0.5,14.129,11264500.0,-90.213
0.6,14.13,11263300.0,-90.262
0.7,14.128,11260900.0,-90.277
0.8,14.133,11264200.0,-90.269
0.9,14.136,11263700.0,-90.231
1.0,14.138,11258000.0,-90.233
1.1,14.13,11264800.0,-90.221
1.2,14.133,11268700.0,-90.248
1.3,14.135,11262200.0,-90.231
1.4,14.138,11260500.0,-90.257
1.5,14.139,11265500.0,-90.265
1.6,14.139,11257700.0,-90.23
1.7,14.139,11257400.0,-90.237
1.8,14.14,11255600.0,-90.238
1.9,14.136,11264500.0,-90.258
2.0,14.137,11263000.0,-90.252
2.1,14.139,11261600.0,-90.251
2.2,14.14,11263400.0,-90.248
2.3,14.137,11262700.0,-90.26
2.4,14.135,11257800.0,-90.224
2.5,14.133,11260700.0,-90.221
2.6,14.135,11260700.0,-90.24
2.7,14.134,11259900.0,-90.241
2.8,14.135,11259200.0,-90.225
2.9,14.142,11257400.0,-90.222
3.0,14.133,11254300.0,-90.218
