Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,12.899,12322800.000,-90.311
-1.900,12.905,12324100.000,-90.315
-1.800,12.902,12323700.000,-90.320
-1.700,12.904,12324000.000,-90.321
-1.600,12.905,12327200.000,-90.309
-1.500,12.906,12325100.000,-90.284
-1.400,12.907,12328900.000,-90.303
-1.300,12.905,12327200.000,-90.296
-1.200,12.904,12328400.000,-90.283
-1.100,12.900,12328600.000,-90.317
-1.000,12.909,12329900.000,-90.296
-0.900,12.907,12327900.000,-90.290
-0.800,12.904,12330200.000,-90.285
-0.700,12.904,12328700.000,-90.285
-0.600,12.900,12327700.000,-90.299
-0.500,12.902,12329700.000,-90.300
-0.400,12.906,12329500.000,-90.294
-0.300,12.903,12331000.000,-90.302
-0.200,12.904,12332800.000,-90.307
-0.100,12.908,12327700.000,-90.302
0.000,12.908,12327200.000,-90.326
0.100,12.904,12330700.000,-90.318
0.200,12.902,12332500.000,-90.339
0.300,12.906,12327100.000,-90.343
0.400,12.908,12328500.000,-90.303
0.500,12.907,12327300.000,-90.311
0.600,12.906,12330200.000,-90.315
0.700,12.905,12327900.000,-90.317
0.800,12.905,12324900.000,-90.334
0.900,12.906,12329100.000,-90.314
1.000,12.908,12327300.000,-90.301
1.100,12.907,12327600.000,-90.300
1.200,12.914,12323300.000,-90.312
1.300,12.912,12326800.000,-90.313
1.400,12.910,12329700.000,-90.319
1.500,12.910,12328300.000,-90.317
1.600,12.909,12324100.000,-90.320
1.700,12.913,12326000.000,-90.312
1.800,12.909,12324300.000,-90.296
1.900,12.909,12323200.000,-90.344
2.000,12.912,12325900.000,-90.330
2.100,12.909,12327600.000,-90.318
2.200,12.907,12328600.000,-90.312
2.300,12.908,12325800.000,-90.298
2.400,12.906,12321400.000,-90.312
2.500,12.908,12325300.000,-90.308
2.600,12.905,12325300.000,-90.304
2.700,12.906,12325300.000,-90.290
2.800,12.906,12324000.000,-90.302
2.900,12.909,12327200.000,-90.285
3.000,12.906,12325700.000,-90.286
#,#,#,#
