Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,24.961,3785610.0,-35.807
-1.9,24.922,3790960.0,-35.838
-1.8,24.878,3799960.0,-35.922
-1.7,24.851,3823520.0,-36.133
-1.6,24.834,3836760.0,-36.27
-1.5,24.827,3841810.0,-36.3
-1.4,24.809,3844050.0,-36.309
-1.3,24.759,3844650.0,-36.322
-1.2,24.73,3843230.0,-36.317
-1.1,24.718,3842540.0,-36.302
-1.0,24.707,3841050.0,-36.289
-0.9,24.688,3838730.0,-36.282
-0.8,24.672,3832030.0,-36.212
-0.7,24.639,3823100.0,-36.132
-0.6,24.596,3813240.0,-36.03
-0.5,24.58,3807460.0,-35.986
-0.4,24.585,3804950.0,-35.962
-0.3,24.582,3806340.0,-35.972
-0.2,24.601,3806280.0,-35.97
-0.1,24.591,3807160.0,-35.997
0.0,24.584,3813720.0,-36.049
0.1,24.576,3817360.0,-36.065
0.2,24.575,3818090.0,-36.072
0.3,24.575,3818110.0,-36.077
0.4,24.577,3821320.0,-36.128
0.5,24.595,3826710.0,-36.168
0.6,24.603,3830090.0,-36.198
0.7,24.612,3835690.0,-36.251
0.8,24.619,3845480.0,-36.34
0.9,24.633,3854050.0,-36.396
1.0,24.639,3852570.0,-36.383
1.1,24.636,3849410.0,-36.367
1.2,24.635,3846830.0,-36.35
1.3,24.637,3842760.0,-36.299
1.4,24.627,3838850.0,-36.244
1.5,24.627,3843740.0,-36.303
1.6,24.633,3855640.0,-36.406
1.7,24.63,3856230.0,-36.403
1.8,24.629,3860430.0,-36.441
1.9,24.635,3857930.0,-36.413
2.0,24.642,3853160.0,-36.378
2.1,24.629,3852810.0,-36.369
2.2,24.627,3853440.0,-36.38
2.3,24.626,3853870.0,-36.376
2.4,24.625,3851410.0,-36.353
2.5,24.603,3847290.0,-36.317
2.6,24.594,3848530.0,-36.33
2.7,24.586,3852810.0,-36.374
2.8,24.582,3857230.0,-36.412
2.9,24.599,3862410.0,-36.445
3.0,24.612,3858000.0,-36.41
