Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,13.618,11675800.0,-88.12
-1.9,13.615,11678400.0,-88.142
-1.8,13.612,11677600.0,-88.161
-1.7,13.617,11677800.0,-88.153
-1.6,13.62,11679700.0,-88.152
-1.5,13.624,11679400.0,-88.157
-1.4,13.615,11678900.0,-88.137
-1.3,13.622,11680800.0,-88.116
-1.2,13.617,11677800.0,-88.111
-1.1,13.617,11676300.0,-88.148
-1.0,13.619,11684100.0,-88.155
-0.9,13.623,11683800.0,-88.109
-0.8,13.619,11682600.0,-88.113
-0.7,13.617,11683000.0,-88.123
-0.6,13.616,11680400.0,-88.122
-0.5,13.609,11682200.0,-88.134
-0.4,13.62,11687500.0,-88.161
-0.3,13.618,11686500.0,-88.147
-0.2,13.617,11686300.0,-88.153
-0.1,13.617,11687000.0,-88.12
0.0,13.611,11683000.0,-88.138
0.1,13.616,11684500.0,-88.163
0.2,13.611,11684500.0,-88.169
0.3,13.612,11683400.0,-88.168
0.4,13.619,11679300.0,-88.127
0.5,13.622,11679300.0,-88.131
0.6,13.615,11680200.0,-88.17
0.7,13.614,11679000.0,-88.157
0.8,13.615,11679300.0,-88.162
0.9,13.62,11687100.0,-88.149
1.0,13.624,11682700.0,-88.128
1.1,13.617,11678200.0,-88.144
1.2,13.62,11680000.0,-88.148
1.3,13.621,11676700.0,-88.146
1.4,13.616,11685700.0,-88.164
1.5,13.618,11683600.0,-88.128
1.6,13.624,11677800.0,-88.134
1.7,13.622,11678000.0,-88.125
1.8,13.623,11680300.0,-88.134
1.9,13.617,11682000.0,-88.159
2.0,13.616,11685800.0,-88.14
2.1,13.621,11678500.0,-88.146
2.2,13.62,11679500.0,-88.147
2.3,13.613,11678500.0,-88.138
2.4,13.627,11679600.0,-88.157
2.5,13.613,11681200.0,-88.153
2.6,13.609,11679700.0,-88.151
2.7,13.611,11680000.0,-88.156
2.8,13.612,11678500.0,-88.145
2.9,13.626,11680500.0,-88.144
3.0,13.619,11680300.0,-88.151
