Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,18.846,8408500.000,-84.937
1200.000,18.524,7134730.000,-85.475
1250.000,18.358,6911570.000,-85.252
1500.000,17.558,6025300.000,-85.499
1600.000,17.742,5592970.000,-85.982
1660.000,17.840,5363370.000,-86.231
2000.000,18.319,4339260.000,-87.112
2400.000,18.330,3611150.000,-87.199
2500.000,18.343,3466850.000,-87.205
3000.000,18.282,2899480.000,-87.531
3200.000,18.286,2717930.000,-87.540
3330.000,18.288,2611610.000,-87.554
4000.000,18.297,2173230.000,-87.703
4800.000,18.136,1826880.000,-87.916
5000.000,18.107,1757100.000,-88.031
6000.000,18.040,1469730.000,-88.140
6400.000,18.009,1380310.000,-88.169
6660.000,17.990,1327740.000,-88.185
8000.000,17.910,1110420.000,-88.246
9600.000,17.937,924003.000,-88.397
10000.000,17.939,886918.000,-88.429
12000.000,17.809,744535.000,-88.492
12500.000,17.816,714506.000,-88.511
15000.000,17.840,594630.000,-88.583
16000.000,17.826,557916.000,-88.602
16600.000,17.817,538014.000,-88.614
20000.000,17.775,447601.000,-88.662
24000.000,17.728,374018.000,-88.689
25000.000,17.717,359262.000,-88.695
30000.000,17.697,299735.000,-88.753
32000.000,17.678,281296.000,-88.760
33300.000,17.667,270488.000,-88.762
40000.000,17.616,225832.000,-88.770
48000.000,17.580,188583.000,-88.786
50000.000,17.571,181128.000,-88.789
60000.000,17.542,151198.000,-88.804
64000.000,17.527,141867.000,-88.809
66600.000,17.518,136402.000,-88.811
80000.000,17.476,113827.000,-88.829
96000.000,17.441,95040.900,-88.838
100000.000,17.434,91282.800,-88.828
120000.000,17.403,76200.600,-88.803
125000.000,17.391,73206.300,-88.806
150000.000,17.337,61196.400,-88.829
160000.000,17.316,57438.700,-88.808
166000.000,17.305,55397.700,-88.796
200000.000,17.254,46114.300,-88.717
240000.000,17.235,38473.200,-88.828
250000.000,17.230,36943.100,-88.851
300000.000,17.202,30836.100,-88.851
320000.000,17.176,28953.800,-88.871
333000.000,17.160,27848.700,-88.882
400000.000,17.096,23270.500,-88.958
480000.000,17.122,19363.000,-88.836
500000.000,17.127,18582.200,-88.815
600000.000,17.110,15500.600,-88.802
640000.000,17.108,14533.500,-88.798
666000.000,17.107,13966.800,-88.794
800000.000,17.108,11626.800,-88.780
960000.000,17.133,9674.580,-88.756
1000000.000,17.143,9282.270,-88.757
#,#,#,#
