Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.462,10292600.000,-88.256
1200.000,15.219,8715320.000,-88.472
1250.000,15.066,8444120.000,-88.229
1500.000,14.332,7397610.000,-88.313
1600.000,14.551,6836330.000,-88.731
1660.000,14.661,6532640.000,-88.924
2000.000,15.210,5232100.000,-89.593
2400.000,15.286,4334610.000,-89.407
2500.000,15.310,4157620.000,-89.357
3000.000,15.303,3466790.000,-89.508
3200.000,15.327,3245400.000,-89.437
3330.000,15.339,3115770.000,-89.419
4000.000,15.400,2583930.000,-89.388
4800.000,15.287,2169220.000,-89.466
5000.000,15.266,2085180.000,-89.579
6000.000,15.241,1740430.000,-89.552
6400.000,15.224,1633540.000,-89.535
6660.000,15.213,1570940.000,-89.526
8000.000,15.170,1311420.000,-89.468
9600.000,15.231,1088570.000,-89.522
10000.000,15.243,1044110.000,-89.532
12000.000,15.144,875791.000,-89.507
12500.000,15.157,840025.000,-89.507
15000.000,15.210,697590.000,-89.495
16000.000,15.206,654176.000,-89.484
16600.000,15.202,630671.000,-89.481
20000.000,15.187,523960.000,-89.458
24000.000,15.165,437302.000,-89.421
25000.000,15.159,419954.000,-89.409
30000.000,15.161,349918.000,-89.416
32000.000,15.150,328285.000,-89.401
33300.000,15.143,315606.000,-89.393
40000.000,15.113,263265.000,-89.349
48000.000,15.096,219646.000,-89.319
50000.000,15.091,210912.000,-89.312
60000.000,15.079,175907.000,-89.287
64000.000,15.070,165006.000,-89.277
66600.000,15.065,158622.000,-89.272
80000.000,15.040,132269.000,-89.254
96000.000,15.021,110359.000,-89.230
100000.000,15.018,105971.000,-89.215
120000.000,15.000,88410.600,-89.153
125000.000,14.991,84926.500,-89.148
150000.000,14.950,70966.300,-89.149
160000.000,14.935,66599.000,-89.116
166000.000,14.926,64228.100,-89.097
200000.000,14.887,53448.800,-88.981
240000.000,14.880,44562.600,-89.088
250000.000,14.879,42783.700,-89.110
300000.000,14.861,35695.000,-89.090
320000.000,14.838,33515.800,-89.103
333000.000,14.825,32237.400,-89.112
400000.000,14.770,26938.400,-89.184
480000.000,14.803,22396.400,-89.028
500000.000,14.811,21489.300,-89.001
600000.000,14.799,17921.900,-88.969
640000.000,14.799,16802.300,-88.963
666000.000,14.798,16146.500,-88.956
800000.000,14.802,13438.600,-88.927
960000.000,14.825,11181.200,-88.897
1000000.000,14.834,10727.700,-88.902
#,#,#,#
