Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,18.073,113531.000,-0.750
1200.000,18.202,113612.000,-0.885
1250.000,17.947,113254.000,-0.912
1500.000,17.128,113633.000,-1.060
1600.000,17.381,113793.000,-1.133
1660.000,17.718,113931.000,-1.182
2000.000,17.992,114055.000,-1.460
2400.000,17.831,114539.000,-1.756
2500.000,17.997,114514.000,-1.853
3000.000,17.701,114005.000,-2.181
3200.000,17.796,114723.000,-2.346
3330.000,17.764,114667.000,-2.443
4000.000,17.785,114732.000,-2.942
4800.000,17.577,114444.000,-3.490
5000.000,17.554,113854.000,-3.603
6000.000,17.492,113445.000,-4.291
6400.000,17.476,113868.000,-4.594
6660.000,17.416,113652.000,-4.762
8000.000,17.334,113035.000,-5.659
9600.000,17.333,112457.000,-6.764
10000.000,17.353,112388.000,-7.042
12000.000,17.193,112085.000,-8.363
12500.000,17.187,111470.000,-8.661
15000.000,17.207,111775.000,-10.445
16000.000,17.196,110270.000,-10.982
16600.000,17.182,109932.000,-11.362
20000.000,17.128,109367.000,-13.616
24000.000,17.069,108622.000,-16.231
25000.000,17.061,108313.000,-16.867
30000.000,17.025,104400.000,-19.576
32000.000,17.004,105540.000,-21.147
33300.000,16.989,104062.000,-21.709
40000.000,16.936,100706.000,-25.376
48000.000,16.889,96867.700,-29.557
50000.000,16.880,96209.400,-30.669
60000.000,16.840,90092.700,-34.882
64000.000,16.823,89326.800,-37.172
66600.000,16.812,86998.200,-37.732
80000.000,16.765,80429.100,-42.664
96000.000,16.724,73369.200,-47.736
100000.000,16.716,71635.800,-48.793
120000.000,16.680,64112.500,-53.733
125000.000,16.667,62497.300,-54.888
150000.000,16.607,55018.500,-59.436
160000.000,16.586,52404.700,-60.891
166000.000,16.574,50942.500,-61.705
200000.000,16.518,43875.200,-65.586
240000.000,16.492,37576.000,-69.147
250000.000,16.488,36255.100,-69.874
300000.000,16.454,30790.500,-72.748
320000.000,16.424,29059.000,-73.691
333000.000,16.410,28031.200,-74.251
400000.000,16.341,23689.400,-76.660
480000.000,16.363,19863.800,-78.611
500000.000,16.368,19087.600,-78.972
600000.000,16.346,16008.200,-80.574
640000.000,16.343,15031.100,-81.055
666000.000,16.341,14458.400,-81.365
800000.000,16.337,12072.800,-82.466
960000.000,16.356,10071.400,-83.516
1000000.000,16.365,9669.940,-83.863
#,#,#,#
