Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.073,10559400.000,-90.007
-1.900,15.074,10560900.000,-90.016
-1.800,15.072,10563600.000,-90.007
-1.700,15.072,10560100.000,-90.009
-1.600,15.085,10555000.000,-90.014
-1.500,15.076,10558300.000,-90.017
-1.400,15.079,10560900.000,-90.013
-1.300,15.078,10557200.000,-90.011
-1.200,15.081,10558000.000,-90.012
-1.100,15.076,10555900.000,-90.030
-1.000,15.079,10556700.000,-90.030
-0.900,15.081,10555400.000,-90.018
-0.800,15.080,10557400.000,-90.038
-0.700,15.079,10556100.000,-90.020
-0.600,15.081,10555600.000,-90.028
-0.500,15.083,10555000.000,-90.004
-0.400,15.078,10555500.000,-90.021
-0.300,15.077,10552600.000,-90.015
-0.200,15.079,10553400.000,-90.005
-0.100,15.079,10557200.000,-90.020
0.000,15.079,10553700.000,-90.013
0.100,15.081,10554800.000,-90.026
0.200,15.077,10553500.000,-90.020
0.300,15.079,10555400.000,-90.005
0.400,15.074,10558000.000,-90.029
0.500,15.075,10557800.000,-89.998
0.600,15.073,10556800.000,-90.013
0.700,15.078,10553800.000,-89.993
0.800,15.075,10556700.000,-89.985
0.900,15.075,10559600.000,-90.013
1.000,15.073,10558000.000,-89.999
1.100,15.072,10557600.000,-89.991
1.200,15.074,10559300.000,-89.995
1.300,15.076,10560000.000,-90.003
1.400,15.076,10557600.000,-90.008
1.500,15.079,10559500.000,-89.997
1.600,15.075,10557500.000,-90.007
1.700,15.073,10560500.000,-90.005
1.800,15.074,10558500.000,-90.004
1.900,15.069,10560700.000,-90.008
2.000,15.076,10559000.000,-90.003
2.100,15.077,10559000.000,-90.026
2.200,15.075,10558200.000,-90.006
2.300,15.078,10556700.000,-90.020
2.400,15.078,10559100.000,-90.014
2.500,15.074,10557200.000,-90.012
2.600,15.073,10555400.000,-90.012
2.700,15.078,10553700.000,-90.020
2.800,15.080,10556300.000,-90.004
2.900,15.075,10558400.000,-90.029
3.000,15.078,10558100.000,-90.016
#,#,#,#
