Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.873,8864360.000,-84.220
-1.900,17.871,8859160.000,-84.207
-1.800,17.868,8859530.000,-84.225
-1.700,17.867,8860920.000,-84.242
-1.600,17.873,8862600.000,-84.217
-1.500,17.871,8857060.000,-84.227
-1.400,17.869,8865320.000,-84.208
-1.300,17.864,8861540.000,-84.193
-1.200,17.864,8860240.000,-84.195
-1.100,17.881,8861070.000,-84.213
-1.000,17.866,8861100.000,-84.214
-0.900,17.874,8863870.000,-84.221
-0.800,17.867,8862960.000,-84.218
-0.700,17.867,8860320.000,-84.226
-0.600,17.878,8863170.000,-84.208
-0.500,17.865,8862300.000,-84.226
-0.400,17.871,8865030.000,-84.222
-0.300,17.868,8866560.000,-84.217
-0.200,17.868,8863590.000,-84.203
-0.100,17.865,8864500.000,-84.250
0.000,17.863,8865710.000,-84.213
0.100,17.861,8860370.000,-84.240
0.200,17.868,8863050.000,-84.250
0.300,17.868,8864170.000,-84.240
0.400,17.864,8864660.000,-84.205
0.500,17.865,8864860.000,-84.223
0.600,17.859,8864650.000,-84.193
0.700,17.855,8863130.000,-84.186
0.800,17.865,8860810.000,-84.187
0.900,17.866,8866740.000,-84.224
1.000,17.862,8863370.000,-84.190
1.100,17.863,8863410.000,-84.202
1.200,17.865,8865850.000,-84.197
1.300,17.866,8863030.000,-84.196
1.400,17.873,8856390.000,-84.196
1.500,17.867,8860470.000,-84.228
1.600,17.874,8858760.000,-84.198
1.700,17.875,8858230.000,-84.210
1.800,17.875,8860570.000,-84.219
1.900,17.867,8860020.000,-84.199
2.000,17.875,8856820.000,-84.186
2.100,17.876,8860040.000,-84.204
2.200,17.870,8860380.000,-84.219
2.300,17.870,8857610.000,-84.219
2.400,17.872,8860080.000,-84.185
2.500,17.882,8861040.000,-84.184
2.600,17.871,8860110.000,-84.194
2.700,17.869,8860240.000,-84.185
2.800,17.868,8859220.000,-84.186
2.900,17.872,8861050.000,-84.216
3.000,17.867,8859970.000,-84.189
#,#,#,#
