Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.636,9557690.000,-88.003
-1.900,16.639,9555950.000,-87.962
-1.800,16.641,9554990.000,-87.966
-1.700,16.644,9556510.000,-87.964
-1.600,16.654,9548320.000,-87.972
-1.500,16.642,9551710.000,-87.974
-1.400,16.654,9555370.000,-87.963
-1.300,16.652,9554870.000,-87.957
-1.200,16.655,9552380.000,-87.960
-1.100,16.647,9549890.000,-87.968
-1.000,16.646,9548560.000,-87.956
-0.900,16.652,9550000.000,-87.945
-0.800,16.649,9549290.000,-87.959
-0.700,16.649,9550140.000,-87.944
-0.600,16.649,9554300.000,-87.966
-0.500,16.659,9553450.000,-87.942
-0.400,16.650,9550180.000,-87.964
-0.300,16.643,9549120.000,-87.951
-0.200,16.644,9550740.000,-87.935
-0.100,16.648,9557450.000,-87.983
0.000,16.649,9554710.000,-87.961
0.100,16.645,9552940.000,-87.968
0.200,16.647,9556470.000,-87.975
0.300,16.649,9553830.000,-87.975
0.400,16.648,9559200.000,-88.010
0.500,16.638,9559780.000,-87.993
0.600,16.649,9554410.000,-87.979
0.700,16.649,9558410.000,-87.982
0.800,16.642,9557380.000,-87.996
0.900,16.643,9558280.000,-88.004
1.000,16.641,9557040.000,-88.003
1.100,16.644,9555870.000,-88.011
1.200,16.645,9554570.000,-88.024
1.300,16.643,9555660.000,-88.022
1.400,16.647,9558170.000,-88.001
1.500,16.645,9553590.000,-88.003
1.600,16.642,9554280.000,-88.011
1.700,16.644,9554880.000,-88.007
1.800,16.642,9553530.000,-88.016
1.900,16.641,9559470.000,-87.990
2.000,16.648,9556030.000,-87.998
2.100,16.646,9554090.000,-88.001
2.200,16.652,9552690.000,-88.000
2.300,16.652,9552760.000,-87.992
2.400,16.649,9558430.000,-87.979
2.500,16.654,9555940.000,-87.963
2.600,16.655,9553760.000,-87.982
2.700,16.650,9552070.000,-87.975
2.800,16.651,9550190.000,-87.970
2.900,16.648,9555200.000,-87.964
3.000,16.646,9550950.000,-87.945
#,#,#,#
