Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.828,9455970.000,-89.899
-1.900,16.830,9455970.000,-89.873
-1.800,16.836,9454050.000,-89.871
-1.700,16.835,9453180.000,-89.889
-1.600,16.828,9455420.000,-89.899
-1.500,16.824,9457680.000,-89.879
-1.400,16.827,9452920.000,-89.890
-1.300,16.827,9453510.000,-89.886
-1.200,16.829,9454850.000,-89.887
-1.100,16.832,9455430.000,-89.881
-1.000,16.833,9453070.000,-89.870
-0.900,16.833,9451960.000,-89.877
-0.800,16.833,9453340.000,-89.872
-0.700,16.827,9455430.000,-89.878
-0.600,16.834,9456400.000,-89.887
-0.500,16.829,9456980.000,-89.897
-0.400,16.828,9455300.000,-89.895
-0.300,16.827,9457380.000,-89.895
-0.200,16.833,9457890.000,-89.905
-0.100,16.837,9455200.000,-89.884
0.000,16.842,9457920.000,-89.896
0.100,16.838,9462460.000,-89.890
0.200,16.838,9461380.000,-89.892
0.300,16.841,9460010.000,-89.886
0.400,16.825,9452940.000,-89.905
0.500,16.834,9454710.000,-89.914
0.600,16.838,9455010.000,-89.894
0.700,16.832,9454560.000,-89.908
0.800,16.832,9451800.000,-89.917
0.900,16.829,9458810.000,-89.906
1.000,16.835,9454130.000,-89.898
1.100,16.827,9452350.000,-89.944
1.200,16.827,9454250.000,-89.934
1.300,16.830,9457510.000,-89.925
1.400,16.839,9454000.000,-89.872
1.500,16.832,9452330.000,-89.889
1.600,16.829,9455220.000,-89.887
1.700,16.828,9455770.000,-89.866
1.800,16.828,9453300.000,-89.854
1.900,16.831,9451010.000,-89.877
2.000,16.824,9456170.000,-89.898
2.100,16.833,9452130.000,-89.861
2.200,16.837,9453010.000,-89.870
2.300,16.836,9452040.000,-89.871
2.400,16.826,9458270.000,-89.908
2.500,16.829,9456850.000,-89.865
2.600,16.829,9453930.000,-89.905
2.700,16.829,9457880.000,-89.899
2.800,16.831,9459590.000,-89.899
2.900,16.831,9454850.000,-89.870
3.000,16.842,9451160.000,-89.882
#,#,#,#
