Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-3.0,91.475,276836.0,-9.076
-2.9,91.51,276417.0,-9.073
-2.8,91.571,276125.0,-9.071
-2.7,91.606,275887.0,-9.07
-2.6,91.64,275739.0,-9.069
-2.5,91.679,275652.0,-9.067
-2.4,91.73,275724.0,-9.067
-2.3,91.764,275767.0,-9.066
-2.2,91.804,275792.0,-9.069
-2.1,91.83,275680.0,-9.068
-2.0,91.821,275418.0,-9.065
-1.9,91.807,275276.0,-9.064
-1.8,91.785,275296.0,-9.064
-1.7,91.796,275345.0,-9.065
-1.6,91.815,275527.0,-9.068
-1.5,91.787,276340.0,-9.07
-1.4,91.731,276764.0,-9.07
-1.3,91.644,276911.0,-9.071
-1.2,91.534,276984.0,-9.074
-1.1,91.403,276963.0,-9.074
-1.0,91.216,276925.0,-9.072
-0.9,91.118,276934.0,-9.071
-0.8,91.046,276797.0,-9.073
-0.7,90.969,276490.0,-9.072
-0.6,90.916,275997.0,-9.069
-0.5,90.862,275630.0,-9.068
-0.4,90.805,275643.0,-9.068
-0.3,90.768,276355.0,-9.072
-0.2,90.739,277191.0,-9.077
-0.1,90.737,277571.0,-9.079
0.0,90.762,277686.0,-9.081
0.1,90.81,277633.0,-9.08
0.2,90.818,277555.0,-9.08
0.3,90.842,277445.0,-9.08
0.4,90.937,277348.0,-9.078
0.5,91.087,277286.0,-9.078
0.6,91.092,277203.0,-9.075
0.7,91.105,277027.0,-9.076
0.8,91.092,276825.0,-9.074
0.9,91.085,277006.0,-9.078
1.0,93.12,277152.0,-9.076
1.1,93.553,277517.0,-9.08
1.2,92.551,277734.0,-9.079
1.3,91.532,278117.0,-9.081
1.4,91.016,278233.0,-9.082
1.5,90.856,278302.0,-9.081
1.6,90.644,278357.0,-9.084
1.7,90.573,278323.0,-9.083
1.8,90.582,278302.0,-9.083
1.9,90.67,278306.0,-9.082
2.0,90.629,278318.0,-9.083
