Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,18.933,8416190.0,-87.554
-1.9,18.934,8417310.0,-87.569
-1.8,18.934,8416850.0,-87.553
-1.7,18.93,8417050.0,-87.556
-1.6,18.939,8416520.0,-87.555
-1.5,18.925,8415470.0,-87.559
-1.4,18.926,8416060.0,-87.566
-1.3,18.927,8417920.0,-87.562
-1.2,18.927,8417470.0,-87.564
-1.1,18.928,8418750.0,-87.545
-1.0,18.927,8418330.0,-87.548
-0.9,18.926,8419230.0,-87.565
-0.8,18.923,8417610.0,-87.555
-0.7,18.92,8417550.0,-87.551
-0.6,18.922,8418070.0,-87.548
-0.5,18.922,8420170.0,-87.55
-0.4,18.922,8418740.0,-87.54
-0.3,18.922,8421100.0,-87.554
-0.2,18.924,8420900.0,-87.547
-0.1,18.913,8423420.0,-87.57
0.0,18.914,8422490.0,-87.551
0.1,18.919,8421600.0,-87.57
0.2,18.913,8422220.0,-87.562
0.3,18.908,8424340.0,-87.566
0.4,18.919,8423150.0,-87.556
0.5,18.912,8421690.0,-87.581
0.6,18.911,8425400.0,-87.571
0.7,18.911,8424240.0,-87.563
0.8,18.908,8424410.0,-87.555
0.9,18.912,8424330.0,-87.578
1.0,18.907,8424810.0,-87.566
1.1,18.911,8422810.0,-87.576
1.2,18.911,8424490.0,-87.581
1.3,18.914,8426120.0,-87.587
1.4,18.905,8425740.0,-87.564
1.5,18.907,8424350.0,-87.576
1.6,18.904,8425520.0,-87.56
1.7,18.903,8424760.0,-87.566
1.8,18.905,8424580.0,-87.563
1.9,18.904,8427590.0,-87.587
2.0,18.905,8427510.0,-87.568
2.1,18.904,8427330.0,-87.566
2.2,18.904,8426830.0,-87.567
2.3,18.903,8428830.0,-87.563
2.4,18.9,8426980.0,-87.581
2.5,18.894,8427950.0,-87.591
2.6,18.899,8429650.0,-87.577
2.7,18.896,8428200.0,-87.596
2.8,18.889,8428790.0,-87.587
2.9,18.893,8426880.0,-87.567
3.0,18.898,8429280.0,-87.566
