Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.855,8949430.000,-85.095
-1.900,17.853,8952430.000,-85.077
-1.800,17.847,8951950.000,-85.087
-1.700,17.844,8951080.000,-85.102
-1.600,17.836,8949290.000,-85.087
-1.500,17.831,8952580.000,-85.110
-1.400,17.827,8955770.000,-85.089
-1.300,17.822,8956100.000,-85.109
-1.200,17.821,8957120.000,-85.118
-1.100,17.821,8956520.000,-85.116
-1.000,17.813,8956690.000,-85.120
-0.900,17.807,8958980.000,-85.129
-0.800,17.802,8959000.000,-85.124
-0.700,17.796,8958130.000,-85.123
-0.600,17.799,8960940.000,-85.145
-0.500,17.794,8959610.000,-85.127
-0.400,17.787,8958350.000,-85.132
-0.300,17.784,8960380.000,-85.133
-0.200,17.783,8958730.000,-85.141
-0.100,17.777,8965060.000,-85.165
0.000,17.776,8965450.000,-85.141
0.100,17.771,8964700.000,-85.172
0.200,17.771,8966480.000,-85.170
0.300,17.769,8967550.000,-85.168
0.400,17.769,8967110.000,-85.168
0.500,17.765,8967320.000,-85.173
0.600,17.760,8969210.000,-85.182
0.700,17.762,8971230.000,-85.196
0.800,17.754,8970590.000,-85.178
0.900,17.759,8970290.000,-85.179
1.000,17.753,8971290.000,-85.200
1.100,17.749,8970100.000,-85.195
1.200,17.744,8971280.000,-85.190
1.300,17.742,8970720.000,-85.210
1.400,17.749,8974770.000,-85.198
1.500,17.741,8973370.000,-85.183
1.600,17.746,8974610.000,-85.222
1.700,17.742,8975280.000,-85.226
1.800,17.740,8976870.000,-85.227
1.900,17.745,8977860.000,-85.228
2.000,17.742,8977860.000,-85.219
2.100,17.739,8978460.000,-85.231
2.200,17.736,8979930.000,-85.237
2.300,17.738,8979380.000,-85.234
2.400,17.729,8979710.000,-85.246
2.500,17.737,8979600.000,-85.253
2.600,17.734,8982390.000,-85.231
2.700,17.729,8981740.000,-85.249
2.800,17.728,8979350.000,-85.246
2.900,17.721,8981260.000,-85.250
3.000,17.721,8980690.000,-85.248
#,#,#,#
