Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.811,10742500.000,-88.121
1200.000,14.563,9094760.000,-88.418
1250.000,14.420,8823000.000,-88.093
1500.000,13.702,7749440.000,-88.208
1600.000,13.898,7151970.000,-88.626
1660.000,14.029,6835770.000,-88.817
2000.000,14.561,5464810.000,-89.532
2400.000,14.651,4529840.000,-89.363
2500.000,14.662,4341990.000,-89.302
3000.000,14.652,3620130.000,-89.470
3200.000,14.675,3389220.000,-89.407
3330.000,14.689,3253630.000,-89.371
4000.000,14.749,2697500.000,-89.351
4800.000,14.636,2265140.000,-89.438
5000.000,14.615,2177910.000,-89.554
6000.000,14.590,1817970.000,-89.534
6400.000,14.573,1706420.000,-89.519
6660.000,14.562,1640950.000,-89.512
8000.000,14.519,1370160.000,-89.458
9600.000,14.580,1137100.000,-89.514
10000.000,14.593,1090620.000,-89.526
12000.000,14.494,915095.000,-89.501
12500.000,14.508,877621.000,-89.502
15000.000,14.562,728631.000,-89.492
16000.000,14.557,683289.000,-89.483
16600.000,14.555,658721.000,-89.481
20000.000,14.541,547272.000,-89.461
24000.000,14.518,456734.000,-89.423
25000.000,14.513,438628.000,-89.415
30000.000,14.516,365449.000,-89.426
32000.000,14.506,342864.000,-89.410
33300.000,14.499,329620.000,-89.402
40000.000,14.470,274960.000,-89.359
48000.000,14.454,229387.000,-89.330
50000.000,14.450,220269.000,-89.324
60000.000,14.439,183700.000,-89.300
64000.000,14.431,172316.000,-89.291
66600.000,14.425,165650.000,-89.286
80000.000,14.402,138126.000,-89.270
96000.000,14.385,115235.000,-89.244
100000.000,14.382,110653.000,-89.232
120000.000,14.366,92307.100,-89.168
125000.000,14.357,88674.800,-89.164
150000.000,14.318,74097.800,-89.166
160000.000,14.303,69539.400,-89.133
166000.000,14.295,67062.900,-89.113
200000.000,14.257,55803.900,-88.997
240000.000,14.252,46525.600,-89.107
250000.000,14.251,44666.900,-89.130
300000.000,14.235,37264.100,-89.110
320000.000,14.213,34990.000,-89.124
333000.000,14.199,33656.000,-89.135
400000.000,14.146,28124.300,-89.215
480000.000,14.181,23379.200,-89.049
500000.000,14.188,22431.400,-89.022
600000.000,14.178,18706.800,-88.990
640000.000,14.177,17537.100,-88.984
666000.000,14.177,16852.300,-88.976
800000.000,14.181,14025.400,-88.948
960000.000,14.204,11669.200,-88.919
1000000.000,14.213,11195.600,-88.924
#,#,#,#
