Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,21.473,7785.540,-0.060
1200.000,20.635,7786.120,-0.069
1250.000,20.427,7787.280,-0.070
1500.000,19.449,7790.220,-0.081
1600.000,19.551,7788.200,-0.088
1660.000,19.646,7786.190,-0.091
2000.000,19.847,7785.160,-0.111
2400.000,19.638,7790.080,-0.132
2500.000,19.629,7788.600,-0.137
3000.000,19.313,7787.240,-0.162
3200.000,19.276,7793.610,-0.173
3330.000,19.183,7780.980,-0.180
4000.000,19.107,7779.630,-0.214
4800.000,18.798,7783.980,-0.253
5000.000,18.735,7787.120,-0.262
6000.000,18.535,7785.750,-0.312
6400.000,18.459,7786.880,-0.331
6660.000,18.396,7783.260,-0.343
8000.000,18.207,7783.720,-0.408
9600.000,18.154,7797.450,-0.489
10000.000,18.141,7797.210,-0.509
12000.000,17.921,7790.230,-0.603
12500.000,17.913,7790.930,-0.628
15000.000,17.862,7790.860,-0.752
16000.000,17.822,7794.140,-0.801
16600.000,17.800,7793.750,-0.829
20000.000,17.716,7798.010,-0.994
24000.000,17.612,7793.800,-1.186
25000.000,17.586,7794.200,-1.233
30000.000,17.519,7789.170,-1.473
32000.000,17.500,7794.060,-1.571
33300.000,17.478,7799.090,-1.634
40000.000,17.397,7792.860,-1.951
48000.000,17.330,7789.100,-2.332
50000.000,17.312,7784.690,-2.426
60000.000,17.254,7786.980,-2.902
64000.000,17.230,7786.520,-3.090
66600.000,17.215,7783.630,-3.212
80000.000,17.149,7777.190,-3.845
96000.000,17.095,7764.140,-4.594
100000.000,17.084,7756.720,-4.780
120000.000,17.035,7744.140,-5.713
125000.000,17.017,7741.050,-5.944
150000.000,16.947,7716.360,-7.085
160000.000,16.921,7705.670,-7.537
166000.000,16.906,7705.640,-7.814
200000.000,16.840,7669.470,-9.344
240000.000,16.806,7623.680,-11.143
250000.000,16.799,7637.560,-11.630
300000.000,16.757,7558.520,-13.815
320000.000,16.726,7529.350,-14.670
333000.000,16.707,7509.850,-15.222
400000.000,16.632,7390.020,-17.995
480000.000,16.646,7216.290,-21.242
500000.000,16.649,7171.560,-22.032
600000.000,16.619,6938.710,-25.769
640000.000,16.613,6843.660,-27.207
666000.000,16.610,6785.250,-28.140
800000.000,16.598,6446.170,-32.536
960000.000,16.611,6039.640,-37.240
1000000.000,16.618,5939.000,-38.324
#,#,#,#
