Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,13.987,11375800.000,-88.180
-1.900,13.983,11374600.000,-88.175
-1.800,13.988,11369900.000,-88.185
-1.700,13.982,11373300.000,-88.192
-1.600,13.982,11377800.000,-88.193
-1.500,13.979,11378400.000,-88.202
-1.400,13.983,11375000.000,-88.175
-1.300,13.981,11373900.000,-88.179
-1.200,13.974,11372200.000,-88.174
-1.100,13.983,11373500.000,-88.205
-1.000,13.987,11377600.000,-88.191
-0.900,13.984,11374100.000,-88.196
-0.800,13.986,11373800.000,-88.178
-0.700,13.987,11373600.000,-88.185
-0.600,13.978,11378800.000,-88.195
-0.500,13.977,11376300.000,-88.190
-0.400,13.982,11371400.000,-88.191
-0.300,13.984,11375000.000,-88.195
-0.200,13.985,11374100.000,-88.165
-0.100,13.990,11374800.000,-88.205
0.000,13.984,11376500.000,-88.184
0.100,13.978,11373400.000,-88.174
0.200,13.979,11376600.000,-88.181
0.300,13.982,11377200.000,-88.170
0.400,13.983,11373500.000,-88.197
0.500,13.982,11379400.000,-88.190
0.600,13.980,11382300.000,-88.162
0.700,13.982,11380300.000,-88.183
0.800,13.985,11378600.000,-88.185
0.900,13.977,11378300.000,-88.168
1.000,13.982,11378600.000,-88.189
1.100,13.987,11376700.000,-88.209
1.200,13.985,11375500.000,-88.183
1.300,13.987,11373300.000,-88.184
1.400,13.979,11377500.000,-88.201
1.500,13.982,11375000.000,-88.180
1.600,13.987,11375600.000,-88.176
1.700,13.986,11379900.000,-88.178
1.800,13.984,11379400.000,-88.191
1.900,13.985,11378100.000,-88.170
2.000,13.984,11378700.000,-88.182
2.100,13.978,11373900.000,-88.184
2.200,13.981,11375100.000,-88.181
2.300,13.982,11375000.000,-88.183
2.400,13.990,11380800.000,-88.176
2.500,13.979,11372600.000,-88.172
2.600,13.976,11375600.000,-88.193
2.700,13.980,11374400.000,-88.181
2.800,13.976,11374600.000,-88.172
2.900,13.987,11379400.000,-88.205
3.000,13.982,11378800.000,-88.203
#,#,#,#
