Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,17.133,9284580.0,-88.258
-1.9,17.132,9283400.0,-88.26
-1.8,17.134,9285620.0,-88.28
-1.7,17.139,9280900.0,-88.278
-1.6,17.136,9285200.0,-88.264
-1.5,17.137,9284220.0,-88.26
-1.4,17.132,9287440.0,-88.234
-1.3,17.136,9285590.0,-88.266
-1.2,17.134,9281630.0,-88.278
-1.1,17.129,9285180.0,-88.275
-1.0,17.138,9285420.0,-88.241
-0.9,17.144,9286950.0,-88.224
-0.8,17.138,9285390.0,-88.25
-0.7,17.129,9283830.0,-88.261
-0.6,17.139,9286620.0,-88.257
-0.5,17.135,9283920.0,-88.256
-0.4,17.142,9282980.0,-88.246
-0.3,17.14,9284120.0,-88.245
-0.2,17.142,9286640.0,-88.244
-0.1,17.14,9284970.0,-88.248
0.0,17.132,9284010.0,-88.283
0.1,17.13,9286980.0,-88.243
0.2,17.133,9285110.0,-88.258
0.3,17.136,9284010.0,-88.258
0.4,17.135,9284750.0,-88.248
0.5,17.14,9290030.0,-88.251
0.6,17.132,9284090.0,-88.228
0.7,17.137,9284640.0,-88.241
0.8,17.134,9285730.0,-88.262
0.9,17.142,9288330.0,-88.238
1.0,17.141,9285830.0,-88.224
1.1,17.131,9279720.0,-88.253
1.2,17.135,9282000.0,-88.236
1.3,17.14,9285290.0,-88.229
1.4,17.136,9283140.0,-88.24
1.5,17.136,9285250.0,-88.245
1.6,17.134,9285680.0,-88.271
1.7,17.138,9283520.0,-88.249
1.8,17.141,9284380.0,-88.234
1.9,17.13,9281590.0,-88.253
2.0,17.142,9285650.0,-88.242
2.1,17.128,9287070.0,-88.241
2.2,17.128,9285300.0,-88.261
2.3,17.137,9285670.0,-88.257
2.4,17.134,9282430.0,-88.254
2.5,17.136,9284780.0,-88.236
2.6,17.136,9283440.0,-88.246
2.7,17.132,9283090.0,-88.262
2.8,17.134,9283940.0,-88.255
2.9,17.137,9283050.0,-88.243
3.0,17.136,9280850.0,-88.23
