Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.0,17.848,8922930.0,-89.448
-1.9,17.853,8920770.0,-89.457
-1.8,17.848,8923260.0,-89.453
-1.7,17.851,8921730.0,-89.46
-1.6,17.858,8920850.0,-89.441
-1.5,17.852,8919970.0,-89.454
-1.4,17.856,8919400.0,-89.457
-1.3,17.857,8919230.0,-89.455
-1.2,17.852,8920760.0,-89.45
-1.1,17.855,8920370.0,-89.449
-1.0,17.848,8920610.0,-89.452
-0.9,17.84,8921380.0,-89.449
-0.8,17.843,8920610.0,-89.451
-0.7,17.84,8922190.0,-89.454
-0.6,17.84,8925930.0,-89.456
-0.5,17.841,8924220.0,-89.439
-0.4,17.84,8923380.0,-89.449
-0.3,17.841,8922650.0,-89.448
-0.2,17.838,8924380.0,-89.452
-0.1,17.837,8921630.0,-89.449
0.0,17.837,8921830.0,-89.439
0.1,17.839,8923160.0,-89.439
0.2,17.843,8924000.0,-89.437
0.3,17.841,8924750.0,-89.449
0.4,17.84,8924250.0,-89.452
0.5,17.838,8926520.0,-89.458
0.6,17.834,8926510.0,-89.458
0.7,17.838,8927860.0,-89.462
0.8,17.839,8927250.0,-89.454
0.9,17.842,8925420.0,-89.429
1.0,17.841,8923170.0,-89.443
1.1,17.837,8924120.0,-89.45
1.2,17.841,8924920.0,-89.456
1.3,17.841,8926990.0,-89.46
1.4,17.843,8926910.0,-89.463
1.5,17.839,8925120.0,-89.458
1.6,17.838,8924930.0,-89.475
1.7,17.841,8924700.0,-89.476
1.8,17.842,8925090.0,-89.461
1.9,17.84,8925950.0,-89.478
2.0,17.841,8924690.0,-89.472
2.1,17.846,8923360.0,-89.46
2.2,17.842,8921820.0,-89.448
2.3,17.841,8924160.0,-89.455
2.4,17.841,8924340.0,-89.458
2.5,17.843,8924220.0,-89.477
2.6,17.84,8925830.0,-89.47
2.7,17.842,8924770.0,-89.459
2.8,17.842,8923340.0,-89.459
2.9,17.839,8923780.0,-89.46
3.0,17.835,8923730.0,-89.466
