Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,21.777,6332710.000,-59.796
-1.900,21.776,6334130.000,-59.796
-1.800,21.774,6333060.000,-59.802
-1.700,21.776,6333610.000,-59.824
-1.600,21.768,6333340.000,-59.822
-1.500,21.761,6334580.000,-59.813
-1.400,21.756,6330310.000,-59.762
-1.300,21.754,6332140.000,-59.755
-1.200,21.759,6331360.000,-59.753
-1.100,21.753,6326740.000,-59.683
-1.000,21.748,6321370.000,-59.633
-0.900,21.761,6315920.000,-59.614
-0.800,21.748,6318090.000,-59.604
-0.700,21.742,6321850.000,-59.617
-0.600,21.745,6316070.000,-59.553
-0.500,21.746,6315910.000,-59.584
-0.400,21.759,6315320.000,-59.615
-0.300,21.750,6311030.000,-59.559
-0.200,21.735,6314500.000,-59.548
-0.100,21.749,6320840.000,-59.670
0.000,21.736,6325220.000,-59.675
0.100,21.749,6320840.000,-59.646
0.200,21.749,6318500.000,-59.641
0.300,21.743,6320340.000,-59.643
0.400,21.750,6321320.000,-59.660
0.500,21.737,6325140.000,-59.677
0.600,21.738,6327250.000,-59.702
0.700,21.734,6325170.000,-59.696
0.800,21.725,6327260.000,-59.681
0.900,21.722,6322210.000,-59.656
1.000,21.729,6319870.000,-59.666
1.100,21.732,6326320.000,-59.706
1.200,21.727,6324760.000,-59.720
1.300,21.724,6323570.000,-59.707
1.400,21.736,6323000.000,-59.709
1.500,21.730,6324280.000,-59.720
1.600,21.720,6325640.000,-59.676
1.700,21.738,6322550.000,-59.673
1.800,21.736,6321440.000,-59.669
1.900,21.747,6324090.000,-59.632
2.000,21.738,6320050.000,-59.620
2.100,21.729,6314960.000,-59.593
2.200,21.738,6316560.000,-59.572
2.300,21.745,6317020.000,-59.561
2.400,21.739,6314100.000,-59.570
2.500,21.749,6316870.000,-59.569
2.600,21.731,6315740.000,-59.601
2.700,21.726,6315520.000,-59.612
2.800,21.725,6316840.000,-59.616
2.900,21.716,6319590.000,-59.630
3.000,21.731,6321330.000,-59.669
#,#,#,#
