Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.122,10513100.000,-88.314
1200.000,14.898,8912960.000,-88.574
1250.000,14.746,8631090.000,-88.261
1500.000,14.012,7569330.000,-88.243
1600.000,14.230,6990500.000,-88.762
1660.000,14.355,6678430.000,-88.985
2000.000,14.896,5343370.000,-89.658
2400.000,14.984,4428830.000,-89.400
2500.000,14.996,4245900.000,-89.414
3000.000,14.992,3539460.000,-89.570
3200.000,15.013,3313080.000,-89.502
3330.000,15.029,3180840.000,-89.472
4000.000,15.090,2637350.000,-89.446
4800.000,14.981,2213440.000,-89.526
5000.000,14.959,2128130.000,-89.641
6000.000,14.936,1776180.000,-89.610
6400.000,14.919,1667050.000,-89.595
6660.000,14.908,1602910.000,-89.582
8000.000,14.868,1338120.000,-89.527
9600.000,14.930,1110450.000,-89.578
10000.000,14.943,1065180.000,-89.591
12000.000,14.846,893481.000,-89.562
12500.000,14.860,856894.000,-89.563
15000.000,14.915,711409.000,-89.550
16000.000,14.912,667132.000,-89.541
16600.000,14.908,643141.000,-89.538
20000.000,14.896,534260.000,-89.514
24000.000,14.874,445851.000,-89.471
25000.000,14.870,428144.000,-89.464
30000.000,14.873,356710.000,-89.469
32000.000,14.863,334645.000,-89.454
33300.000,14.857,321712.000,-89.445
40000.000,14.829,268333.000,-89.399
48000.000,14.813,223846.000,-89.367
50000.000,14.810,214942.000,-89.360
60000.000,14.799,179245.000,-89.333
64000.000,14.791,168137.000,-89.322
66600.000,14.785,161629.000,-89.317
80000.000,14.762,134765.000,-89.297
96000.000,14.744,112431.000,-89.266
100000.000,14.742,107955.000,-89.257
120000.000,14.726,90056.000,-89.188
125000.000,14.717,86510.100,-89.185
150000.000,14.678,72285.400,-89.183
160000.000,14.663,67835.100,-89.150
166000.000,14.655,65418.600,-89.129
200000.000,14.618,54438.500,-89.013
240000.000,14.612,45383.200,-89.116
250000.000,14.611,43571.700,-89.138
300000.000,14.595,36350.500,-89.116
320000.000,14.572,34130.900,-89.128
333000.000,14.559,32828.800,-89.137
400000.000,14.505,27432.500,-89.208
480000.000,14.539,22805.000,-89.047
500000.000,14.547,21881.100,-89.019
600000.000,14.535,18248.200,-88.985
640000.000,14.535,17107.900,-88.978
666000.000,14.535,16440.300,-88.970
800000.000,14.539,13682.600,-88.940
960000.000,14.562,11384.000,-88.905
1000000.000,14.571,10921.800,-88.906
#,#,#,#
