Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.127,9299970.000,-89.911
-1.900,17.121,9298650.000,-89.896
-1.800,17.123,9296690.000,-89.910
-1.700,17.121,9298440.000,-89.913
-1.600,17.119,9296180.000,-89.905
-1.500,17.120,9297840.000,-89.904
-1.400,17.122,9295610.000,-89.912
-1.300,17.124,9296510.000,-89.900
-1.200,17.125,9297060.000,-89.894
-1.100,17.121,9296920.000,-89.893
-1.000,17.124,9298040.000,-89.904
-0.900,17.123,9297020.000,-89.906
-0.800,17.125,9297560.000,-89.919
-0.700,17.125,9298190.000,-89.922
-0.600,17.125,9301010.000,-89.899
-0.500,17.120,9299520.000,-89.896
-0.400,17.124,9296680.000,-89.908
-0.300,17.120,9296390.000,-89.908
-0.200,17.123,9299050.000,-89.899
-0.100,17.125,9299340.000,-89.910
0.000,17.123,9300680.000,-89.904
0.100,17.122,9300830.000,-89.916
0.200,17.127,9299010.000,-89.916
0.300,17.126,9297520.000,-89.902
0.400,17.128,9296350.000,-89.932
0.500,17.126,9297260.000,-89.924
0.600,17.123,9298820.000,-89.915
0.700,17.124,9297460.000,-89.906
0.800,17.121,9297040.000,-89.912
0.900,17.117,9295100.000,-89.907
1.000,17.124,9296170.000,-89.918
1.100,17.125,9293420.000,-89.917
1.200,17.123,9297480.000,-89.923
1.300,17.121,9298250.000,-89.907
1.400,17.119,9295560.000,-89.913
1.500,17.118,9294140.000,-89.914
1.600,17.118,9296700.000,-89.917
1.700,17.118,9297420.000,-89.916
1.800,17.114,9296240.000,-89.903
1.900,17.119,9300520.000,-89.899
2.000,17.117,9296410.000,-89.882
2.100,17.115,9294120.000,-89.903
2.200,17.114,9294370.000,-89.882
2.300,17.118,9295200.000,-89.891
2.400,17.119,9297430.000,-89.906
2.500,17.122,9296870.000,-89.895
2.600,17.117,9297590.000,-89.897
2.700,17.121,9298660.000,-89.895
2.800,17.122,9296480.000,-89.904
2.900,17.120,9299350.000,-89.908
3.000,17.118,9299270.000,-89.901
#,#,#,#
