Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-3.0,89.525,284592.0,-9.135
-2.9,89.45,284295.0,-9.131
-2.8,89.355,283977.0,-9.129
-2.7,89.353,284037.0,-9.131
-2.6,89.393,284448.0,-9.133
-2.5,89.406,284550.0,-9.134
-2.4,89.378,284384.0,-9.132
-2.3,89.343,284415.0,-9.134
-2.2,89.332,284695.0,-9.136
-2.1,89.306,284926.0,-9.137
-2.0,89.169,284927.0,-9.138
-1.9,89.02,284882.0,-9.136
-1.8,88.909,285059.0,-9.138
-1.7,88.82,284810.0,-9.136
-1.6,88.81,284459.0,-9.135
-1.5,88.805,284445.0,-9.134
-1.4,88.819,284872.0,-9.138
-1.3,88.822,284863.0,-9.137
-1.2,88.814,285016.0,-9.138
-1.1,88.805,285273.0,-9.139
-1.0,88.794,285178.0,-9.139
-0.9,88.788,285102.0,-9.139
-0.8,88.803,284980.0,-9.137
-0.7,88.857,284875.0,-9.137
-0.6,88.902,284847.0,-9.136
-0.5,88.899,284926.0,-9.137
-0.4,88.922,284953.0,-9.137
-0.3,88.924,284931.0,-9.136
-0.2,88.921,285390.0,-9.139
-0.1,88.922,285597.0,-9.14
0.0,88.943,285588.0,-9.141
0.1,88.965,285445.0,-9.138
0.2,88.974,285441.0,-9.139
0.3,88.982,285550.0,-9.139
0.4,88.955,285618.0,-9.14
0.5,88.921,285589.0,-9.139
0.6,88.939,285451.0,-9.139
0.7,88.954,285392.0,-9.141
0.8,88.936,285366.0,-9.141
0.9,88.92,285534.0,-9.139
1.0,88.903,285318.0,-9.139
1.1,88.886,285311.0,-9.14
1.2,88.85,285752.0,-9.143
1.3,88.797,285775.0,-9.142
1.4,88.8,285486.0,-9.14
1.5,88.785,285443.0,-9.142
1.6,88.745,285539.0,-9.14
1.7,88.732,285598.0,-9.139
1.8,88.765,285713.0,-9.142
1.9,88.762,286032.0,-9.145
2.0,88.76,286081.0,-9.143
