Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,19.097,8285560.000,-84.135
1200.000,18.738,7043410.000,-84.721
1250.000,18.578,6821590.000,-84.521
1500.000,17.753,5949810.000,-84.855
1600.000,17.931,5527750.000,-85.347
1660.000,18.021,5302920.000,-85.613
2000.000,18.484,4297830.000,-86.564
2400.000,18.491,3582470.000,-86.711
2500.000,18.489,3437560.000,-86.734
3000.000,18.415,2876970.000,-87.121
3200.000,18.414,2697580.000,-87.151
3330.000,18.416,2592530.000,-87.174
4000.000,18.415,2158370.000,-87.388
4800.000,18.251,1815610.000,-87.634
5000.000,18.218,1746030.000,-87.770
6000.000,18.146,1461030.000,-87.915
6400.000,18.115,1372190.000,-87.957
6660.000,18.095,1320080.000,-87.980
8000.000,18.012,1104060.000,-88.078
9600.000,18.034,919044.000,-88.261
10000.000,18.039,882087.000,-88.290
12000.000,17.907,740514.000,-88.371
12500.000,17.913,710620.000,-88.396
15000.000,17.936,591423.000,-88.486
16000.000,17.922,554936.000,-88.510
16600.000,17.912,535165.000,-88.527
20000.000,17.870,445251.000,-88.589
24000.000,17.822,372052.000,-88.628
25000.000,17.812,357381.000,-88.633
30000.000,17.791,298171.000,-88.700
32000.000,17.773,279831.000,-88.708
33300.000,17.763,269083.000,-88.713
40000.000,17.711,224663.000,-88.726
48000.000,17.673,187612.000,-88.746
50000.000,17.665,180189.000,-88.748
60000.000,17.636,150420.000,-88.767
64000.000,17.622,141141.000,-88.773
66600.000,17.613,135702.000,-88.775
80000.000,17.572,113246.000,-88.794
96000.000,17.538,94563.100,-88.807
100000.000,17.529,90827.300,-88.800
120000.000,17.494,75824.000,-88.776
125000.000,17.481,72845.400,-88.778
150000.000,17.425,60897.600,-88.802
160000.000,17.404,57159.100,-88.783
166000.000,17.392,55129.100,-88.770
200000.000,17.341,45894.000,-88.693
240000.000,17.320,38290.600,-88.804
250000.000,17.317,36768.200,-88.828
300000.000,17.287,30691.300,-88.827
320000.000,17.260,28817.900,-88.847
333000.000,17.243,27718.700,-88.859
400000.000,17.178,23163.500,-88.935
480000.000,17.203,19275.500,-88.813
500000.000,17.209,18497.600,-88.792
600000.000,17.191,15430.600,-88.778
640000.000,17.189,14467.800,-88.775
666000.000,17.187,13904.000,-88.771
800000.000,17.188,11574.600,-88.757
960000.000,17.213,9631.420,-88.732
1000000.000,17.222,9240.870,-88.732
#,#,#,#
