Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,20.884,6622330.000,-60.298
1200.000,20.451,5813420.000,-63.637
1250.000,20.254,5654830.000,-64.060
1500.000,19.351,5025380.000,-66.469
1600.000,19.500,4729030.000,-67.947
1660.000,19.575,4565810.000,-68.745
2000.000,19.951,3800770.000,-72.287
2400.000,19.888,3215090.000,-74.453
2500.000,19.868,3094840.000,-74.884
3000.000,19.718,2620740.000,-76.852
3200.000,19.691,2465990.000,-77.416
3330.000,19.675,2374870.000,-77.757
4000.000,19.604,1994650.000,-79.253
4800.000,19.369,1688780.000,-80.520
5000.000,19.323,1626870.000,-80.850
6000.000,19.184,1369260.000,-81.880
6400.000,19.128,1288350.000,-82.198
6660.000,19.093,1240790.000,-82.388
8000.000,18.946,1042650.000,-83.172
9600.000,18.910,872034.000,-83.952
10000.000,18.899,837730.000,-84.112
12000.000,18.710,705868.000,-84.673
12500.000,18.704,677943.000,-84.800
15000.000,18.674,566306.000,-85.315
16000.000,18.640,531977.000,-85.471
16600.000,18.621,513346.000,-85.560
20000.000,18.529,428425.000,-85.963
24000.000,18.434,358998.000,-86.290
25000.000,18.414,345050.000,-86.357
30000.000,18.351,288630.000,-86.669
32000.000,18.318,271103.000,-86.757
33300.000,18.297,260821.000,-86.809
40000.000,18.208,218242.000,-87.023
48000.000,18.136,182621.000,-87.221
50000.000,18.121,175476.000,-87.261
60000.000,18.059,146751.000,-87.431
64000.000,18.034,137782.000,-87.486
66600.000,18.018,132524.000,-87.519
80000.000,17.948,110770.000,-87.661
96000.000,17.886,92623.500,-87.782
100000.000,17.875,88990.500,-87.796
120000.000,17.822,74386.300,-87.867
125000.000,17.804,71484.200,-87.888
150000.000,17.728,59828.700,-87.993
160000.000,17.701,56177.500,-87.999
166000.000,17.686,54193.200,-88.001
200000.000,17.615,45160.600,-87.993
240000.000,17.577,37716.800,-88.161
250000.000,17.569,36224.400,-88.196
300000.000,17.524,30264.200,-88.248
320000.000,17.492,28425.600,-88.284
333000.000,17.474,27345.800,-88.305
400000.000,17.394,22869.100,-88.424
480000.000,17.406,19044.600,-88.344
500000.000,17.409,18279.700,-88.332
600000.000,17.380,15258.800,-88.353
640000.000,17.373,14310.100,-88.361
666000.000,17.370,13754.300,-88.364
800000.000,17.360,11457.200,-88.379
960000.000,17.375,9539.430,-88.384
1000000.000,17.383,9153.390,-88.394
#,#,#,#
