Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,19.202,3012490.000,-21.424
1200.000,19.015,3735690.000,-32.264
1250.000,18.826,3456620.000,-30.587
1500.000,18.024,3615100.000,-37.644
1600.000,18.258,2562390.000,-27.814
1660.000,18.384,3130930.000,-36.743
2000.000,18.659,3140360.000,-47.258
2400.000,18.651,2607900.000,-47.277
2500.000,18.696,2518380.000,-47.844
3000.000,18.576,2273940.000,-52.635
3200.000,18.561,2228080.000,-56.215
3330.000,18.558,2025620.000,-51.841
4000.000,18.559,1819150.000,-58.351
4800.000,18.410,1634560.000,-64.918
5000.000,18.343,1472840.000,-58.296
6000.000,18.265,1358960.000,-69.208
6400.000,18.238,1265540.000,-68.005
6660.000,18.214,1247790.000,-71.935
8000.000,18.107,1047720.000,-72.563
9600.000,18.113,888839.000,-76.060
10000.000,18.112,859523.000,-78.019
12000.000,17.968,729007.000,-80.879
12500.000,17.976,698167.000,-80.299
15000.000,17.988,584564.000,-82.123
16000.000,17.964,547801.000,-81.324
16600.000,17.962,528043.000,-81.304
20000.000,17.896,440596.000,-82.213
24000.000,17.834,369930.000,-84.148
25000.000,17.826,354321.000,-82.725
30000.000,17.796,296897.000,-84.725
32000.000,17.774,278575.000,-84.462
33300.000,17.756,267958.000,-84.413
40000.000,17.694,224215.000,-85.705
48000.000,17.650,187512.000,-86.430
50000.000,17.641,180088.000,-86.323
60000.000,17.603,150448.000,-86.555
64000.000,17.586,141145.000,-86.154
66600.000,17.576,135727.000,-86.356
80000.000,17.526,113364.000,-86.788
96000.000,17.482,94709.800,-86.991
100000.000,17.473,90982.100,-87.111
120000.000,17.436,76007.700,-87.536
125000.000,17.421,73019.600,-87.430
150000.000,17.360,61074.600,-87.725
160000.000,17.338,57337.200,-87.749
166000.000,17.325,55303.200,-87.715
200000.000,17.268,46051.500,-87.648
240000.000,17.242,38441.700,-88.024
250000.000,17.238,36915.100,-88.049
300000.000,17.203,30827.500,-88.284
320000.000,17.175,28951.100,-88.377
333000.000,17.158,27846.000,-88.231
400000.000,17.088,23279.500,-88.468
480000.000,17.109,19375.700,-88.445
500000.000,17.113,18595.500,-88.404
600000.000,17.090,15516.400,-88.415
640000.000,17.087,14549.800,-88.419
666000.000,17.085,13983.700,-88.499
800000.000,17.081,11644.100,-88.475
960000.000,17.101,9691.680,-88.470
1000000.000,17.110,9299.310,-88.476
#,#,#,#
