Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,13.586,11716000.000,-90.252
-1.900,13.591,11719900.000,-90.259
-1.800,13.589,11715700.000,-90.252
-1.700,13.587,11717000.000,-90.253
-1.600,13.583,11716800.000,-90.250
-1.500,13.584,11719500.000,-90.262
-1.400,13.587,11716100.000,-90.248
-1.300,13.588,11716500.000,-90.258
-1.200,13.588,11721000.000,-90.243
-1.100,13.583,11719900.000,-90.246
-1.000,13.585,11719300.000,-90.277
-0.900,13.590,11717700.000,-90.257
-0.800,13.590,11716400.000,-90.261
-0.700,13.588,11719300.000,-90.239
-0.600,13.585,11719300.000,-90.269
-0.500,13.590,11713700.000,-90.275
-0.400,13.591,11719300.000,-90.252
-0.300,13.590,11718300.000,-90.259
-0.200,13.589,11717300.000,-90.264
-0.100,13.579,11716600.000,-90.270
0.000,13.587,11711200.000,-90.257
0.100,13.589,11719200.000,-90.257
0.200,13.587,11718200.000,-90.254
0.300,13.589,11715500.000,-90.265
0.400,13.575,11713600.000,-90.236
0.500,13.575,11712800.000,-90.224
0.600,13.569,11714900.000,-90.250
0.700,13.567,11718300.000,-90.258
0.800,13.570,11713700.000,-90.250
0.900,13.559,11726400.000,-90.254
1.000,13.560,11721400.000,-90.217
1.100,13.560,11724200.000,-90.242
1.200,13.560,11725500.000,-90.237
1.300,13.563,11721900.000,-90.240
1.400,13.585,11728100.000,-90.235
1.500,13.582,11730600.000,-90.216
1.600,13.579,11728700.000,-90.232
1.700,13.579,11726600.000,-90.233
1.800,13.581,11726200.000,-90.230
1.900,13.586,11727600.000,-90.245
2.000,13.582,11731100.000,-90.236
2.100,13.580,11727000.000,-90.255
2.200,13.582,11730300.000,-90.240
2.300,13.582,11726500.000,-90.237
2.400,13.586,11727500.000,-90.258
2.500,13.584,11732100.000,-90.276
2.600,13.587,11723900.000,-90.251
2.700,13.586,11726000.000,-90.239
2.800,13.589,11728600.000,-90.256
2.900,13.583,11727000.000,-90.261
3.000,13.581,11727600.000,-90.267
#,#,#,#
