Current (mA),Time (ms)
0.0,95.0
0.492,10286.0
0.514,10556.0
0.531,10827.0
0.543,11098.0
0.554,11367.0
0.566,11640.0
0.577,11912.0
0.59,12214.0
0.602,12484.0
0.612,12758.0
0.622,13030.0
0.632,13303.0
0.643,13576.0
0.654,13847.0
0.669,14119.0
0.686,14390.0
0.704,14663.0
0.726,14936.0
0.747,15208.0
0.769,15477.0
0.79,15748.0
0.809,16020.0
0.827,16293.0
0.846,16563.0
0.865,16834.0
0.881,17105.0
0.899,17379.0
0.913,17650.0
0.924,17922.0
0.936,18193.0
0.946,18467.0
0.956,18739.0
0.966,19012.0
0.975,19286.0
1.015,19557.0
1.016,19828.0
1.031,20101.0
1.049,20374.0
1.076,20646.0
1.099,20919.0
1.139,21190.0
1.149,21465.0
1.158,21736.0
1.19,22007.0
1.219,22278.0
1.261,22548.0
1.298,22819.0
1.322,23090.0
1.37,23363.0
1.394,23634.0
1.45,23908.0
1.513,24182.0
1.557,24453.0
1.636,24726.0
1.655,24997.0
1.679,25269.0
1.734,25540.0
1.808,25809.0
1.891,26083.0
1.995,26354.0
2.055,26626.0
2.118,26897.0
2.232,27168.0
2.331,27441.0
2.497,27714.0
2.59,27984.0
2.905,28255.0
3.08,28529.0
3.053,28802.0
3.172,29073.0
3.239,29344.0
3.385,29616.0
3.356,29889.0
3.542,30160.0
3.69,30432.0
3.888,30704.0
4.018,30973.0
4.131,31246.0
4.328,31520.0
4.458,31793.0
4.542,32063.0
4.66,32335.0
4.817,32609.0
4.932,32880.0
5.138,33152.0
