Current (mA),Time (ms)
1.803,105680.0
1.808,105951.0
1.809,106221.0
1.81,106491.0
1.813,106762.0
1.807,107033.0
1.802,107304.0
1.802,107575.0
1.8,107845.0
1.8,108115.0
1.806,108385.0
1.812,108655.0
1.817,108926.0
1.822,109197.0
1.827,109468.0
1.832,109738.0
1.841,110009.0
1.851,110279.0
1.857,110548.0
1.862,110818.0
1.867,111088.0
1.874,111358.0
1.876,111629.0
1.88,111900.0
1.885,112170.0
1.891,112440.0
1.899,112710.0
1.905,112981.0
1.907,113251.0
1.91,113521.0
1.912,113791.0
1.917,114061.0
1.917,114331.0
1.918,114602.0
1.92,114873.0
1.917,115143.0
1.917,115415.0
1.917,115685.0
1.917,115956.0
1.917,116226.0
1.917,116496.0
1.916,116766.0
1.917,117037.0
1.921,117307.0
1.92,117578.0
1.925,117849.0
1.927,118118.0
1.933,118389.0
1.941,118659.0
1.951,118929.0
1.956,119198.0
1.96,119468.0
1.959,119738.0
1.96,120009.0
1.96,120280.0
1.958,120551.0
1.958,120822.0
1.965,121093.0
1.963,121364.0
1.961,121634.0
1.959,121904.0
1.96,122174.0
1.961,122445.0
1.954,122716.0
1.956,122986.0
1.959,123256.0
1.964,123527.0
1.969,123797.0
1.973,124068.0
1.977,124338.0
1.982,124608.0
1.982,124879.0
1.983,125150.0
1.984,125421.0
1.985,125691.0
1.984,125962.0
1.983,126233.0
1.98,126503.0
1.982,126774.0
1.983,127044.0
1.986,127315.0
1.993,127585.0
2.0,127856.0
2.01,128126.0
2.015,128397.0
2.019,128666.0
2.019,128937.0
2.014,129207.0
2.008,129477.0
2.003,129747.0
2.0,130017.0
2.001,130286.0
2.002,130556.0
2.006,130827.0
2.013,131097.0
2.015,131367.0
2.016,131638.0
2.012,131908.0
2.009,132177.0
2.011,132448.0
2.01,132718.0
2.011,132989.0
2.009,133260.0
2.007,133531.0
2.002,133802.0
1.997,134072.0
1.996,134342.0
1.982,134611.0
1.987,134881.0
2.021,135151.0
1.992,135422.0
2.01,135692.0
2.01,135962.0
2.01,136232.0
2.0,136502.0
1.996,136772.0
2.024,137041.0
2.021,137312.0
2.02,137581.0
2.022,137852.0
2.036,138123.0
2.04,138393.0
2.044,138663.0
2.038,138933.0
2.036,139204.0
2.033,139474.0
2.021,139744.0
2.025,140015.0
2.014,140285.0
2.025,140556.0
2.013,140826.0
2.033,141096.0
2.016,141365.0
2.028,141635.0
2.038,141905.0
2.032,142175.0
2.024,142444.0
2.022,142713.0
2.023,142983.0
2.023,143254.0
2.029,143524.0
2.023,143794.0
2.02,144065.0
2.018,144335.0
2.012,144605.0
2.014,144874.0
2.014,145144.0
2.014,145413.0
2.027,145683.0
2.051,145953.0
2.02,146223.0
2.015,146493.0
2.023,146764.0
2.021,147035.0
2.02,147305.0
2.021,147574.0
2.003,147845.0
2.005,148114.0
2.004,148385.0
2.006,148654.0
2.004,148925.0
2.005,149195.0
2.004,149465.0
2.0,149736.0
2.078,150007.0
2.037,150278.0
2.047,150548.0
2.042,150819.0
2.035,151089.0
2.032,151360.0
2.028,151631.0
2.03,151902.0
2.039,152171.0
2.045,152442.0
2.043,152712.0
2.044,152982.0
2.039,153252.0
2.037,153523.0
2.042,153794.0
2.047,154064.0
2.037,154334.0
2.036,154604.0
2.036,154874.0
2.032,155144.0
2.027,155414.0
2.022,155684.0
2.022,155955.0
2.02,156225.0
2.025,156495.0
2.016,156765.0
2.004,157033.0
2.0,157304.0
1.998,157575.0
2.002,157846.0
2.004,158116.0
2.001,158387.0
2.009,158656.0
2.014,158926.0
2.014,159196.0
2.007,159466.0
2.006,159736.0
2.009,160007.0
2.01,160278.0
2.019,160547.0
2.033,160817.0
2.04,161088.0
2.045,161358.0
2.046,161629.0
2.031,161900.0
2.026,162169.0
2.022,162440.0
2.024,162711.0
2.02,162981.0
2.015,163252.0
2.01,163522.0
2.009,163792.0
2.007,164061.0
2.012,164332.0
2.018,164602.0
2.02,164873.0
2.017,165143.0
2.007,165413.0
2.01,165683.0
1.999,165952.0
1.992,166223.0
1.988,166493.0
1.99,166763.0
1.997,167033.0
1.983,167303.0
1.978,167573.0
1.98,167845.0
1.978,168116.0
1.985,168387.0
1.978,168657.0
1.986,168928.0
1.985,169198.0
1.986,169467.0
1.982,169738.0
1.98,170009.0
1.977,170279.0
1.969,170550.0
1.979,170820.0
1.985,171091.0
1.977,171361.0
1.983,171631.0
1.988,171901.0
1.985,172172.0
1.989,172443.0
1.969,172714.0
1.968,172983.0
1.983,173254.0
1.983,173524.0
2.012,173795.0
1.982,174065.0
1.97,174335.0
1.971,174605.0
1.977,174875.0
1.993,175146.0
2.003,175417.0
1.999,175687.0
1.994,175957.0
1.991,176227.0
1.998,176497.0
2.016,176766.0
1.961,177037.0
1.985,177307.0
1.988,177577.0
1.994,177847.0
2.003,178117.0
1.998,178388.0
1.998,178657.0
2.002,178928.0
1.997,179198.0
1.998,179468.0
1.993,179738.0
1.99,180009.0
1.985,180280.0
1.996,180549.0
2.004,180820.0
1.993,181090.0
1.993,181361.0
1.994,181632.0
2.0,181902.0
1.97,182173.0
1.992,182443.0
1.958,182713.0
1.955,182984.0
1.982,183254.0
1.959,183524.0
1.973,183794.0
1.953,184065.0
2.0,184335.0
1.956,184605.0
1.969,184875.0
2.013,185145.0
1.998,185417.0
2.005,185686.0
1.985,185956.0
1.988,186226.0
1.99,186496.0
2.016,186766.0
2.018,187037.0
1.985,187308.0
1.986,187579.0
1.981,187850.0
1.985,188121.0
1.991,188391.0
2.0,188662.0
2.005,188933.0
2.004,189202.0
2.001,189473.0
2.0,189743.0
1.994,190013.0
1.993,190284.0
1.992,190554.0
1.99,190823.0
1.984,191094.0
1.987,191364.0
1.993,191634.0
1.993,191904.0
1.991,192175.0
1.986,192445.0
1.981,192715.0
1.977,192984.0
1.991,193255.0
1.991,193525.0
1.997,193795.0
1.989,194066.0
1.992,194337.0
1.989,194608.0
1.987,194878.0
1.984,195149.0
1.984,195419.0
1.983,195690.0
1.983,195960.0
1.982,196230.0
1.98,196500.0
1.984,196770.0
1.986,197040.0
1.984,197311.0
1.984,197581.0
1.986,197851.0
1.989,198122.0
1.99,198392.0
1.995,198663.0
1.999,198934.0
1.999,199205.0
2.006,199476.0
2.008,199746.0
2.007,200017.0
2.002,200288.0
1.997,200558.0
1.995,200828.0
1.993,201098.0
1.99,201368.0
1.987,201638.0
1.988,201908.0
1.979,202179.0
1.976,202449.0
1.979,202720.0
1.977,202991.0
1.978,203261.0
1.98,203531.0
1.982,203802.0
1.983,204072.0
1.982,204342.0
1.991,204612.0
1.988,204883.0
1.978,205153.0
1.985,205423.0
1.99,205693.0
1.982,205963.0
1.988,206233.0
1.99,206504.0
1.99,206774.0
1.985,207044.0
1.98,207314.0
1.977,207583.0
1.979,207854.0
1.982,208125.0
1.984,208395.0
1.984,208666.0
1.986,208937.0
1.988,209207.0
1.986,209477.0
1.987,209748.0
1.986,210019.0
1.988,210290.0
1.985,210560.0
1.982,210829.0
1.981,211100.0
1.982,211371.0
1.983,211641.0
1.982,211912.0
1.983,212182.0
1.993,212452.0
1.993,212721.0
2.245,212992.0
1.986,213262.0
2.0,213534.0
1.985,213803.0
1.963,214074.0
1.98,214344.0
1.974,214614.0
1.98,214884.0
1.987,215154.0
1.993,215424.0
1.996,215694.0
1.993,215964.0
1.994,216235.0
2.108,216506.0
2.007,216776.0
2.627,217046.0
2.324,217316.0
2.463,217586.0
2.325,217856.0
2.407,218126.0
2.093,218396.0
2.006,218667.0
2.117,218938.0
2.456,219207.0
2.657,219477.0
1.982,219748.0
2.735,220018.0
2.264,220288.0
1.978,220559.0
2.144,220830.0
2.229,221101.0
2.355,221371.0
2.606,221642.0
1.965,221911.0
1.965,222181.0
1.971,222451.0
1.977,222722.0
1.984,222993.0
3.346,223264.0
2.015,223535.0
2.186,223806.0
1.99,224076.0
1.999,224347.0
1.981,224618.0
2.265,224888.0
1.991,225158.0
2.003,225429.0
2.002,225700.0
2.005,225971.0
2.03,226242.0
2.031,226513.0
3.542,226784.0
3.168,227055.0
2.609,227326.0
2.033,227597.0
2.016,227867.0
2.022,228137.0
2.26,228408.0
2.004,228679.0
2.001,228949.0
2.02,229218.0
2.003,229489.0
2.006,229758.0
2.161,230028.0
2.018,230299.0
2.065,230570.0
2.171,230840.0
3.04,231110.0
2.227,231380.0
5.722,231651.0
