Current (mA),Time (ms)
0.0,97.0
0.955,10296.0
0.994,10567.0
1.035,10840.0
1.071,11111.0
1.095,11381.0
1.107,11654.0
1.112,11925.0
1.11,12196.0
1.104,12466.0
1.094,12737.0
1.082,13008.0
1.067,13279.0
1.05,13550.0
1.031,13825.0
1.009,14099.0
0.986,14369.0
0.962,14641.0
0.929,14912.0
0.884,15182.0
0.836,15454.0
0.796,15726.0
0.768,16002.0
0.748,16272.0
0.727,16543.0
0.705,16813.0
0.685,17086.0
0.665,17357.0
0.649,17629.0
0.634,17902.0
0.622,18171.0
0.615,18444.0
0.611,18718.0
0.608,18992.0
0.605,19268.0
0.602,19541.0
0.599,19812.0
0.598,20085.0
0.598,20356.0
0.595,20625.0
0.593,20896.0
0.59,21168.0
0.586,21441.0
0.583,21712.0
0.579,21982.0
0.577,22253.0
0.575,22525.0
0.574,22796.0
0.574,23070.0
0.571,23342.0
0.571,23613.0
0.569,23885.0
0.569,24157.0
0.568,24430.0
0.567,24701.0
0.568,24972.0
0.569,25245.0
0.57,25518.0
0.572,25791.0
0.573,26062.0
0.575,26333.0
0.576,26610.0
0.578,26883.0
0.579,27153.0
0.58,27423.0
0.582,27694.0
0.582,27968.0
0.584,28242.0
0.584,28513.0
0.584,28783.0
0.585,29054.0
0.587,29326.0
0.587,29598.0
0.589,29869.0
0.59,30141.0
0.591,30413.0
0.592,30686.0
0.594,30960.0
0.595,31231.0
0.595,31502.0
0.595,31772.0
0.595,32047.0
0.595,32317.0
0.595,32589.0
0.595,32862.0
0.595,33132.0
0.595,33402.0
0.596,33673.0
0.597,33943.0
0.596,34217.0
0.595,34490.0
0.71,34762.0
0.682,35033.0
0.679,35307.0
0.695,35581.0
0.681,35853.0
0.685,36128.0
0.801,36399.0
0.815,36672.0
0.833,36944.0
0.818,37217.0
0.812,37490.0
0.906,37762.0
0.939,38034.0
1.005,38304.0
1.046,38577.0
1.001,38849.0
1.068,39119.0
1.038,39390.0
1.024,39661.0
1.114,39932.0
1.23,40207.0
1.249,40479.0
1.285,40752.0
1.289,41021.0
1.237,41291.0
1.262,41566.0
1.247,41836.0
1.265,42107.0
1.326,42382.0
1.449,42652.0
1.415,42924.0
1.483,43193.0
1.506,43464.0
1.533,43737.0
1.562,44008.0
1.58,44281.0
1.786,44553.0
1.808,44825.0
1.797,45098.0
1.866,45369.0
1.878,45641.0
1.875,45915.0
1.891,46186.0
1.94,46458.0
2.122,46732.0
2.078,47004.0
2.048,47276.0
2.059,47546.0
2.226,47816.0
2.096,48088.0
2.192,48360.0
2.273,48632.0
2.134,48903.0
2.187,49175.0
2.165,49447.0
2.207,49719.0
2.296,49991.0
2.263,50261.0
2.45,50535.0
2.396,50806.0
2.389,51078.0
2.469,51351.0
2.516,51621.0
2.614,51894.0
2.627,52165.0
2.698,52436.0
2.655,52706.0
2.751,52980.0
2.642,53251.0
2.732,53523.0
2.727,53795.0
2.709,54066.0
2.717,54339.0
2.779,54611.0
2.89,54884.0
2.788,55157.0
3.017,55429.0
2.919,55702.0
3.059,55973.0
2.986,56246.0
3.029,56520.0
3.053,56793.0
3.003,57067.0
3.03,57340.0
3.19,57612.0
3.237,57882.0
3.282,58154.0
3.181,58428.0
3.223,58699.0
3.183,58975.0
3.27,59247.0
3.161,59520.0
3.159,59793.0
3.254,60065.0
3.227,60340.0
3.293,60615.0
3.228,60888.0
3.271,61162.0
3.306,61436.0
3.203,61709.0
3.271,61982.0
3.243,62255.0
3.388,62528.0
3.407,62801.0
3.323,63077.0
3.18,63351.0
3.12,63626.0
3.184,63901.0
3.276,64176.0
3.194,64448.0
3.239,64720.0
3.191,64992.0
3.25,65267.0
3.333,65540.0
3.468,65814.0
3.363,66086.0
3.213,66359.0
3.208,66630.0
3.213,66904.0
3.374,67175.0
3.452,67447.0
3.541,67721.0
3.449,67991.0
3.403,68263.0
3.422,68538.0
3.427,68810.0
3.519,69083.0
3.443,69355.0
3.48,69627.0
3.577,69899.0
3.405,70173.0
3.638,70447.0
3.53,70719.0
3.573,70992.0
3.533,71265.0
3.464,71539.0
3.43,71813.0
3.459,72085.0
3.512,72359.0
3.452,72632.0
3.484,72908.0
3.579,73179.0
3.51,73453.0
3.63,73726.0
3.717,73998.0
3.605,74270.0
3.626,74545.0
3.722,74821.0
3.745,75093.0
3.729,75365.0
3.593,75637.0
3.601,75910.0
3.378,76184.0
3.403,76457.0
3.426,76728.0
3.419,77003.0
3.422,77278.0
3.718,77550.0
3.914,77822.0
4.002,78094.0
4.046,78366.0
3.993,78638.0
3.757,78909.0
3.969,79181.0
3.783,79453.0
3.648,79724.0
3.877,79998.0
4.345,80270.0
4.619,80542.0
4.612,80813.0
4.559,81086.0
4.696,81359.0
4.579,81632.0
4.592,81905.0
4.697,82178.0
4.687,82453.0
4.817,82728.0
4.707,83000.0
4.909,83273.0
4.989,83548.0
4.952,83823.0
5.462,84095.0
