Current (mA),Time (ms)
0.0,93.0
0.341,10278.0
0.344,10549.0
0.311,10821.0
0.281,11091.0
0.322,11362.0
0.294,11634.0
0.293,11904.0
0.298,12177.0
0.307,12449.0
0.314,12720.0
0.326,12994.0
0.331,13263.0
0.343,13536.0
0.342,13806.0
0.355,14076.0
0.352,14349.0
0.361,14622.0
0.363,14893.0
0.363,15166.0
0.368,15439.0
0.375,15711.0
0.375,15983.0
0.38,16254.0
0.387,16528.0
0.387,16799.0
0.394,17071.0
0.398,17342.0
0.401,17615.0
0.405,17886.0
0.411,18159.0
0.413,18429.0
0.42,18700.0
0.422,18971.0
0.424,19245.0
0.43,19517.0
0.433,19787.0
0.435,20060.0
0.437,20332.0
0.442,20605.0
0.444,20877.0
0.446,21147.0
0.448,21418.0
0.451,21688.0
0.452,21959.0
0.453,22230.0
0.456,22502.0
0.458,22774.0
0.459,23045.0
0.46,23316.0
0.462,23587.0
0.464,23857.0
0.467,24129.0
0.468,24401.0
0.47,24672.0
0.472,24942.0
0.474,25213.0
0.478,25482.0
0.48,25753.0
0.482,26024.0
0.488,26297.0
0.491,26568.0
0.496,26839.0
0.499,27112.0
0.502,27382.0
0.504,27653.0
0.508,27924.0
0.513,28196.0
0.516,28466.0
0.519,28737.0
0.523,29005.0
0.528,29280.0
0.531,29550.0
0.535,29822.0
0.539,30095.0
0.543,30364.0
0.546,30635.0
0.551,30906.0
0.553,31177.0
0.557,31446.0
0.562,31716.0
0.565,31990.0
0.57,32261.0
0.573,32533.0
0.577,32806.0
0.58,33078.0
0.584,33350.0
0.587,33622.0
0.591,33894.0
0.595,34164.0
0.599,34435.0
0.604,34707.0
0.608,34978.0
0.611,35251.0
0.614,35521.0
0.619,35792.0
0.623,36062.0
0.627,36333.0
0.631,36605.0
0.635,36877.0
0.639,37148.0
0.644,37420.0
0.648,37693.0
0.653,37965.0
0.656,38236.0
0.661,38506.0
0.666,38775.0
0.671,39043.0
0.675,39314.0
0.678,39587.0
0.683,39858.0
0.687,40130.0
0.691,40401.0
0.697,40670.0
0.702,40939.0
0.707,41212.0
0.712,41484.0
0.717,41756.0
0.722,42028.0
0.728,42299.0
0.733,42571.0
0.74,42841.0
0.745,43113.0
0.751,43384.0
0.756,43656.0
0.763,43926.0
0.77,44199.0
0.775,44471.0
0.782,44742.0
0.789,45011.0
0.892,45284.0
0.888,45553.0
0.895,45826.0
0.902,46096.0
0.911,46368.0
0.921,46643.0
0.944,46912.0
0.942,47183.0
0.95,47454.0
0.957,47726.0
0.984,47997.0
1.071,48269.0
1.058,48538.0
1.058,48811.0
1.104,49082.0
1.123,49353.0
1.127,49626.0
1.156,49896.0
1.161,50167.0
1.232,50440.0
1.228,50710.0
1.323,50981.0
1.348,51252.0
1.43,51524.0
1.433,51793.0
1.563,52064.0
1.576,52334.0
1.551,52607.0
1.663,52879.0
1.627,53147.0
1.704,53418.0
2.003,53690.0
1.985,53963.0
2.058,54235.0
2.028,54508.0
2.088,54781.0
2.228,55050.0
2.153,55322.0
2.192,55594.0
2.318,55863.0
2.558,56133.0
2.724,56406.0
2.778,56676.0
3.093,56948.0
3.705,57220.0
3.633,57491.0
3.938,57765.0
4.062,58037.0
4.302,58309.0
4.421,58582.0
4.509,58859.0
4.62,59131.0
4.936,59404.0
5.311,59677.0
