Current (mA),Time (ms)
Current (mA),Time (ms)
0.000,97.000
2.375,10303.000
2.104,10574.000
2.062,10848.000
2.097,11123.000
2.200,11396.000
2.296,11670.000
2.379,11941.000
2.453,12213.000
2.517,12482.000
2.578,12774.000
2.627,13046.000
2.669,13317.000
2.705,13590.000
2.737,13862.000
2.765,14132.000
2.789,14403.000
2.809,14674.000
2.826,14944.000
2.841,15216.000
2.853,15485.000
2.863,15754.000
2.872,16025.000
2.878,16297.000
2.882,16571.000
2.884,16841.000
2.884,17115.000
2.880,17386.000
2.875,17657.000
2.870,17928.000
2.863,18198.000
2.854,18471.000
2.845,18743.000
2.834,19015.000
2.823,19287.000
2.811,19557.000
2.800,19828.000
2.786,20101.000
2.773,20369.000
2.759,20640.000
2.746,20910.000
2.734,21183.000
2.723,21454.000
2.710,21727.000
2.697,21998.000
2.684,22269.000
2.671,22543.000
2.660,22815.000
2.650,23086.000
2.644,23357.000
2.636,23628.000
2.628,23901.000
2.621,24173.000
2.612,24444.000
2.604,24716.000
2.599,24988.000
2.595,25259.000
2.589,25531.000
2.582,25801.000
2.575,26072.000
2.569,26344.000
2.563,26617.000
2.557,26889.000
2.552,27163.000
2.552,27438.000
2.549,27709.000
2.550,27981.000
2.550,28253.000
2.548,28524.000
2.548,28797.000
2.552,29070.000
2.553,29340.000
2.556,29613.000
2.561,29885.000
2.565,30156.000
2.567,30426.000
2.563,30697.000
2.562,30972.000
2.560,31242.000
2.565,31514.000
2.565,31834.000
2.565,32192.000
2.567,32551.000
2.571,32912.000
2.579,33273.000
2.584,33630.000
2.587,33974.000
2.592,34331.000
2.599,34690.000
2.607,35049.000
2.615,35406.000
2.620,35766.000
2.621,36127.000
2.626,36489.000
2.637,36834.000
2.650,37192.000
2.672,37550.000
2.679,37861.000
2.678,38132.000
2.687,38404.000
2.698,38673.000
2.709,38945.000
2.715,39216.000
2.715,39486.000
2.723,39758.000
2.726,40030.000
2.729,40301.000
2.743,40573.000
2.748,40844.000
2.755,41114.000
2.754,41387.000
2.744,41658.000
2.752,41930.000
2.758,42201.000
2.764,42473.000
2.766,42744.000
2.772,43017.000
2.784,43291.000
2.829,43560.000
2.837,43832.000
2.821,44103.000
2.836,44374.000
2.835,44646.000
2.835,44919.000
2.847,45189.000
2.868,45466.000
2.857,45738.000
2.871,46012.000
2.879,46286.000
2.883,46559.000
2.897,46829.000
2.917,47099.000
2.913,47371.000
2.924,47642.000
2.932,47913.000
2.929,48183.000
2.937,48453.000
2.987,48725.000
3.010,48997.000
3.021,49267.000
3.023,49538.000
3.016,49810.000
3.000,50081.000
3.009,50352.000
3.027,50624.000
3.029,50895.000
3.063,51166.000
3.079,51437.000
3.105,51708.000
3.101,51978.000
3.127,52249.000
3.102,52518.000
3.114,52790.000
3.124,53059.000
3.145,53331.000
3.184,53602.000
3.163,53873.000
3.188,54148.000
3.192,54417.000
3.193,54688.000
3.194,54960.000
3.226,55232.000
3.230,55504.000
3.236,55773.000
3.244,56044.000
3.259,56315.000
3.266,56586.000
3.274,56859.000
3.279,57129.000
3.289,57401.000
3.306,57673.000
3.320,57943.000
3.330,58216.000
3.340,58489.000
3.338,58762.000
3.351,59035.000
3.345,59305.000
3.367,59577.000
3.358,59849.000
3.339,60121.000
3.329,60393.000
3.332,60663.000
3.338,60932.000
3.337,61204.000
3.357,61477.000
3.362,61748.000
3.378,62018.000
3.393,62288.000
3.416,62560.000
3.409,62831.000
3.422,63101.000
3.437,63375.000
3.457,63646.000
3.455,63916.000
3.447,64189.000
3.447,64463.000
3.447,64737.000
3.451,65008.000
3.442,65278.000
3.446,65550.000
3.453,65820.000
3.465,66090.000
3.461,66363.000
3.473,66637.000
3.513,66908.000
3.493,67179.000
3.490,67451.000
3.487,67725.000
3.512,67996.000
3.510,68268.000
3.508,68538.000
3.510,68809.000
3.523,69079.000
3.528,69348.000
3.523,69620.000
3.528,69890.000
3.534,70161.000
3.539,70431.000
3.539,70702.000
3.532,70973.000
3.526,71247.000
3.539,71518.000
3.542,71791.000
3.541,72062.000
3.543,72333.000
3.541,72603.000
3.551,72874.000
3.557,73147.000
3.571,73419.000
3.568,73690.000
3.579,73961.000
3.613,74233.000
3.603,74504.000
3.602,74777.000
3.603,75047.000
3.599,75317.000
3.590,75590.000
3.609,75860.000
3.604,76132.000
3.606,76406.000
3.614,76678.000
3.609,76950.000
3.621,77220.000
3.620,77493.000
3.604,77765.000
3.618,78037.000
3.620,78309.000
3.660,78582.000
3.662,78852.000
3.656,79125.000
3.654,79394.000
3.657,79665.000
3.662,79936.000
3.663,80209.000
3.668,80479.000
3.672,80750.000
3.675,81019.000
3.684,81292.000
3.689,81561.000
3.697,81833.000
3.701,82107.000
3.732,82381.000
3.739,82652.000
3.733,82925.000
3.828,83193.000
3.837,83463.000
3.825,83735.000
3.815,84007.000
3.848,84278.000
3.833,84549.000
3.863,84821.000
3.866,85093.000
3.884,85364.000
3.885,85633.000
3.882,85906.000
3.901,86180.000
3.887,86453.000
3.911,86726.000
3.918,86995.000
3.914,87266.000
4.050,87538.000
4.040,87810.000
4.016,88084.000
4.014,88355.000
4.025,88625.000
4.020,88896.000
4.057,89167.000
4.063,89440.000
4.099,89711.000
4.097,89982.000
4.095,90256.000
4.092,90528.000
4.115,90798.000
4.184,91070.000
4.262,91339.000
4.417,91610.000
4.546,91881.000
4.534,92154.000
4.623,92426.000
4.511,92696.000
4.677,92970.000
4.573,93242.000
4.630,93513.000
4.640,93783.000
4.629,94055.000
4.669,94326.000
4.719,94596.000
4.645,94868.000
4.702,95137.000
4.728,95410.000
4.773,95680.000
4.856,95948.000
4.918,96220.000
4.814,96492.000
4.892,96762.000
4.841,97033.000
4.925,97305.000
4.602,97576.000
4.687,97848.000
4.759,98118.000
4.828,98390.000
4.849,98662.000
4.859,98933.000
4.837,99204.000
4.924,99475.000
4.972,99746.000
4.980,100014.000
5.102,100286.000
