Current (mA),Time (ms)
0.0,92.0
0.418,10286.0
0.427,10557.0
0.429,10828.0
0.425,11100.0
0.421,11369.0
0.418,11640.0
0.415,11912.0
0.415,12182.0
0.416,12455.0
0.419,12724.0
0.422,12995.0
0.425,13265.0
0.429,13535.0
0.433,13805.0
0.437,14076.0
0.442,14349.0
0.447,14622.0
0.452,14894.0
0.456,15168.0
0.46,15439.0
0.465,15711.0
0.468,15981.0
0.473,16254.0
0.477,16527.0
0.482,16799.0
0.487,17070.0
0.492,17343.0
0.496,17615.0
0.499,17887.0
0.503,18158.0
0.506,18427.0
0.51,18698.0
0.513,18972.0
0.516,19243.0
0.519,19514.0
0.522,19788.0
0.527,20062.0
0.531,20332.0
0.534,20605.0
0.538,20877.0
0.545,21149.0
0.55,21418.0
0.554,21690.0
0.558,21962.0
0.563,22233.0
0.568,22506.0
0.584,22778.0
0.585,23049.0
0.592,23320.0
0.6,23592.0
0.607,23865.0
0.617,24137.0
0.625,24411.0
0.635,24682.0
0.647,24953.0
0.653,25223.0
0.663,25496.0
0.674,25768.0
0.68,26040.0
0.691,26310.0
0.711,26582.0
0.722,26855.0
0.756,27126.0
0.768,27399.0
0.786,27671.0
0.789,27942.0
0.82,28210.0
0.835,28482.0
0.864,28754.0
0.884,29026.0
0.893,29297.0
0.92,29569.0
0.963,29841.0
0.98,30112.0
0.997,30383.0
1.032,30655.0
1.075,30925.0
1.098,31197.0
1.103,31469.0
1.093,31741.0
1.19,32013.0
1.202,32287.0
1.284,32558.0
1.294,32827.0
1.356,33098.0
1.395,33369.0
1.459,33639.0
1.494,33912.0
1.56,34185.0
1.584,34455.0
1.648,34728.0
1.686,34999.0
1.718,35271.0
1.761,35542.0
1.807,35818.0
1.924,36087.0
1.932,36357.0
1.996,36630.0
2.059,36900.0
2.12,37172.0
2.324,37445.0
2.567,37715.0
2.603,37986.0
2.62,38260.0
2.727,38533.0
2.757,38803.0
2.894,39076.0
3.021,39347.0
3.229,39621.0
3.263,39893.0
3.482,40167.0
3.727,40441.0
3.825,40714.0
4.061,40985.0
4.074,41260.0
4.334,41532.0
4.552,41805.0
4.59,42081.0
4.663,42354.0
4.779,42628.0
4.892,42902.0
5.101,43174.0
