Current (mA),Time (ms)
0.0,95.0
2.848,10298.0
2.851,10571.0
2.746,10842.0
2.826,11112.0
2.939,11385.0
3.056,11656.0
3.156,11927.0
3.222,12199.0
3.256,12473.0
3.268,12745.0
3.267,13017.0
3.262,13289.0
3.252,13559.0
3.239,13832.0
3.225,14105.0
3.213,14374.0
3.201,14647.0
3.186,14918.0
3.169,15190.0
3.148,15459.0
3.123,15733.0
3.098,16005.0
3.069,16276.0
3.041,16549.0
3.014,16819.0
2.986,17089.0
2.964,17361.0
2.939,17632.0
2.918,17902.0
2.897,18174.0
2.881,18447.0
2.865,18720.0
2.854,18991.0
2.843,19262.0
2.832,19533.0
2.822,19804.0
2.812,20074.0
2.806,20348.0
2.802,20618.0
2.798,20889.0
2.793,21161.0
2.793,21434.0
2.793,21705.0
2.791,21974.0
2.787,22246.0
2.787,22519.0
2.786,22792.0
2.788,23063.0
2.784,23335.0
2.784,23609.0
2.782,23881.0
2.786,24153.0
2.785,24427.0
2.789,24698.0
2.788,24972.0
2.785,25244.0
2.783,25516.0
2.779,25787.0
2.778,26057.0
2.775,26331.0
2.775,26603.0
2.776,26876.0
2.781,27149.0
2.78,27420.0
2.787,27690.0
2.795,27963.0
2.799,28236.0
2.8,28508.0
2.796,28779.0
2.795,29050.0
2.795,29321.0
2.798,29590.0
2.805,29861.0
2.815,30131.0
2.818,30402.0
2.821,30674.0
2.827,30948.0
2.828,31221.0
2.824,31493.0
2.83,31764.0
2.833,32038.0
2.836,32311.0
2.839,32581.0
2.848,32855.0
2.855,33126.0
2.858,33397.0
2.858,33669.0
2.863,33942.0
2.863,34214.0
2.867,34486.0
2.9,34758.0
2.909,35031.0
2.926,35302.0
2.927,35574.0
2.928,35847.0
2.932,36118.0
2.929,36392.0
2.931,36663.0
2.933,36935.0
2.935,37209.0
2.945,37480.0
2.947,37752.0
2.956,38027.0
2.989,38297.0
2.995,38570.0
2.995,38843.0
3.001,39115.0
3.02,39386.0
3.033,39660.0
3.071,39933.0
3.067,40206.0
3.073,40477.0
3.079,40748.0
3.091,41021.0
3.098,41294.0
3.104,41567.0
3.115,41839.0
3.118,42109.0
3.118,42380.0
3.125,42651.0
3.126,42922.0
3.135,43194.0
3.15,43465.0
3.159,43738.0
3.16,44012.0
3.158,44284.0
3.162,44557.0
3.17,44831.0
3.176,45104.0
3.19,45377.0
3.189,45648.0
3.216,45921.0
3.216,46195.0
3.222,46465.0
3.23,46737.0
3.241,47008.0
3.25,47281.0
3.255,47554.0
3.249,47827.0
3.25,48098.0
3.258,48370.0
3.274,48642.0
3.29,48914.0
3.291,49187.0
3.293,49458.0
3.291,49729.0
3.29,50002.0
3.291,50277.0
3.294,50549.0
3.298,50823.0
3.304,51093.0
3.311,51368.0
3.319,51640.0
3.325,51911.0
3.326,52182.0
3.341,52455.0
3.385,52728.0
3.392,53000.0
3.415,53271.0
3.412,53542.0
3.412,53816.0
3.413,54087.0
3.433,54361.0
3.436,54632.0
3.437,54905.0
3.451,55176.0
3.453,55449.0
3.471,55721.0
3.513,55991.0
3.52,56262.0
3.519,56535.0
3.519,56808.0
3.525,57079.0
3.531,57350.0
3.538,57624.0
3.531,57896.0
3.537,58168.0
3.542,58442.0
3.548,58712.0
3.563,58985.0
3.559,59255.0
3.554,59526.0
3.577,59795.0
3.585,60065.0
3.591,60338.0
3.585,60610.0
3.584,60882.0
3.576,61153.0
3.581,61425.0
3.596,61696.0
3.607,61968.0
3.603,62241.0
3.62,62513.0
3.637,62782.0
3.661,63051.0
3.654,63323.0
3.67,63597.0
3.672,63871.0
3.675,64144.0
3.675,64416.0
3.669,64687.0
3.678,64960.0
3.686,65233.0
3.695,65505.0
3.693,65775.0
3.696,66047.0
3.696,66319.0
3.712,66590.0
3.728,66861.0
3.724,67131.0
3.723,67402.0
3.721,67676.0
3.717,67948.0
3.726,68221.0
3.735,68492.0
3.74,68764.0
3.734,69038.0
3.738,69309.0
3.733,69579.0
3.728,69851.0
3.74,70124.0
3.755,70397.0
3.78,70668.0
3.808,70940.0
3.806,71214.0
3.808,71488.0
3.807,71757.0
3.806,72027.0
3.814,72299.0
3.808,72571.0
3.801,72842.0
3.811,73114.0
3.819,73388.0
3.828,73660.0
3.825,73935.0
3.824,74206.0
3.828,74478.0
3.824,74750.0
3.83,75021.0
3.829,75292.0
3.835,75561.0
3.842,75832.0
3.867,76101.0
3.876,76372.0
3.878,76642.0
3.875,76916.0
3.871,77193.0
3.874,77475.0
3.882,77747.0
3.884,78017.0
3.888,78290.0
3.89,78563.0
3.887,78835.0
3.917,79106.0
3.921,79376.0
4.086,79651.0
4.06,79921.0
4.044,80192.0
4.148,80462.0
4.123,80731.0
4.101,81002.0
4.099,81278.0
4.085,81548.0
4.116,81817.0
4.121,82090.0
4.127,82362.0
4.136,82633.0
4.151,82905.0
4.186,83177.0
4.178,83449.0
4.191,83722.0
4.206,83994.0
4.203,84265.0
4.203,84536.0
4.214,84807.0
4.202,85086.0
4.227,85356.0
4.246,85631.0
4.25,85901.0
4.245,86173.0
4.282,86444.0
4.256,86714.0
4.269,86984.0
4.275,87255.0
4.264,87525.0
4.254,87795.0
4.288,88065.0
4.271,88336.0
4.307,88608.0
4.319,88881.0
4.305,89153.0
4.33,89427.0
4.326,89696.0
4.328,89968.0
4.383,90238.0
4.351,90508.0
4.387,90779.0
4.397,91052.0
4.38,91323.0
4.41,91596.0
4.382,91865.0
4.381,92136.0
4.375,92408.0
4.369,92681.0
4.376,92952.0
4.367,93224.0
4.376,93496.0
4.402,93768.0
4.41,94037.0
4.424,94309.0
4.421,94582.0
4.424,94854.0
4.433,95126.0
4.423,95398.0
4.43,95670.0
4.45,95942.0
4.434,96213.0
4.433,96486.0
4.496,96758.0
4.522,97029.0
4.495,97305.0
4.502,97578.0
4.51,97850.0
4.506,98122.0
4.521,98391.0
4.515,98666.0
4.477,98938.0
4.491,99211.0
4.51,99483.0
4.573,99752.0
4.603,100024.0
4.611,100293.0
4.586,100566.0
4.58,100838.0
4.643,101109.0
4.613,101378.0
4.593,101650.0
4.594,101921.0
4.567,102194.0
4.613,102464.0
4.641,102735.0
4.632,103007.0
4.672,103277.0
4.687,103550.0
4.702,103821.0
4.701,104093.0
4.736,104365.0
4.717,104636.0
4.741,104908.0
4.722,105177.0
4.733,105448.0
4.74,105719.0
4.752,105989.0
4.737,106261.0
4.705,106532.0
4.72,106803.0
4.701,107074.0
4.698,107344.0
4.744,107617.0
4.708,107892.0
4.71,108161.0
4.726,108431.0
4.715,108702.0
4.695,108975.0
4.691,109246.0
4.714,109516.0
4.758,109792.0
4.747,110065.0
4.741,110336.0
4.753,110608.0
4.756,110880.0
4.77,111153.0
4.821,111422.0
4.821,111691.0
4.833,111960.0
4.819,112233.0
4.806,112502.0
4.801,112773.0
4.815,113044.0
4.822,113316.0
4.789,113588.0
4.791,113860.0
4.862,114133.0
4.867,114405.0
4.916,114677.0
4.978,114949.0
4.946,115220.0
4.981,115491.0
5.035,115761.0
