Current (mA),Time (ms)
0.0,95.0
1.167,10289.0
1.256,10709.0
1.306,10981.0
1.343,11253.0
1.361,11524.0
1.377,11796.0
1.392,12066.0
1.405,12340.0
1.418,12612.0
1.431,12884.0
1.445,13152.0
1.46,13424.0
1.478,13698.0
1.498,13970.0
1.521,14243.0
1.546,14515.0
1.574,14784.0
1.604,15058.0
1.634,15332.0
1.665,15606.0
1.695,15878.0
1.724,16149.0
1.748,16419.0
1.763,16693.0
1.769,16966.0
1.771,17237.0
1.763,17509.0
1.755,17782.0
1.743,18053.0
1.723,18325.0
1.682,18599.0
1.619,18872.0
1.543,19146.0
1.462,19418.0
1.37,19691.0
1.273,19962.0
1.196,20233.0
1.146,20506.0
1.117,20779.0
1.094,21051.0
1.072,21324.0
1.035,21594.0
0.982,21868.0
0.944,22215.0
0.916,22486.0
0.885,22760.0
0.853,23032.0
0.822,23306.0
0.806,23579.0
0.797,23851.0
0.792,24122.0
0.788,24395.0
0.786,24668.0
0.783,24940.0
0.778,25211.0
0.771,25483.0
0.768,25754.0
0.758,26026.0
0.751,26299.0
0.753,26572.0
0.752,26846.0
0.751,27118.0
0.749,27391.0
0.75,27661.0
0.749,27933.0
0.878,28206.0
0.862,28479.0
0.894,28751.0
1.017,29021.0
0.998,29292.0
1.034,29565.0
1.037,29836.0
1.049,30106.0
1.069,30376.0
1.049,30648.0
1.163,30921.0
1.41,31195.0
1.291,31467.0
1.424,31738.0
1.435,32011.0
1.52,32284.0
1.368,32559.0
1.572,32831.0
1.556,33103.0
1.517,33377.0
1.749,33647.0
1.824,33919.0
1.955,34189.0
1.915,34460.0
1.891,34736.0
1.999,35008.0
2.021,35280.0
2.153,35550.0
2.357,35824.0
2.502,36096.0
2.643,36369.0
2.869,36641.0
2.983,36912.0
3.331,37183.0
3.346,37454.0
3.287,37728.0
3.512,38002.0
3.459,38275.0
3.622,38549.0
3.583,38822.0
3.712,39096.0
3.808,39368.0
4.1,39641.0
4.367,39913.0
4.629,40185.0
4.806,40459.0
4.806,40730.0
4.876,41004.0
4.967,41276.0
5.158,41550.0
