Current (mA),Time (ms)
0.0,96.0
0.038,10288.0
0.051,10564.0
0.066,10840.0
0.08,11116.0
0.092,11391.0
0.102,11667.0
0.112,11943.0
0.121,12215.0
0.129,12486.0
0.136,12756.0
0.143,13027.0
0.149,13312.0
0.154,13584.0
0.158,13855.0
0.163,14129.0
0.166,14399.0
0.17,14670.0
0.173,14939.0
0.176,15209.0
0.18,15483.0
0.183,15754.0
0.186,16026.0
0.189,16300.0
0.192,16570.0
0.195,16841.0
0.198,17113.0
0.201,17382.0
0.203,17653.0
0.206,17926.0
0.209,18200.0
0.211,18472.0
0.214,18744.0
0.216,19017.0
0.219,19288.0
0.222,19561.0
0.224,19832.0
0.228,20105.0
0.23,20377.0
0.234,20685.0
0.236,20963.0
0.239,21235.0
0.243,21508.0
0.246,21779.0
0.249,22050.0
0.252,22322.0
0.255,22595.0
0.259,22866.0
0.262,23138.0
0.265,23409.0
0.269,23682.0
0.273,23953.0
0.276,24226.0
0.28,24496.0
0.284,24767.0
0.287,25041.0
0.292,25314.0
0.295,25586.0
0.299,25860.0
0.303,26132.0
0.307,26400.0
0.311,26672.0
0.314,26944.0
0.319,27216.0
0.322,27488.0
0.326,27759.0
0.33,28032.0
0.335,28303.0
0.339,28577.0
0.343,28853.0
0.347,29123.0
0.351,29394.0
0.356,29667.0
0.36,29938.0
0.364,30208.0
0.368,30478.0
0.372,30749.0
0.377,31018.0
0.381,31289.0
0.385,31560.0
0.389,31831.0
0.393,32101.0
0.398,32373.0
0.402,32643.0
0.407,32914.0
0.412,33186.0
0.416,33457.0
0.42,33730.0
0.424,34002.0
0.429,34271.0
0.434,34543.0
0.438,34815.0
0.443,35087.0
0.448,35360.0
0.453,35631.0
0.456,35904.0
0.461,36174.0
0.465,36443.0
0.47,36713.0
0.474,36982.0
0.479,37256.0
0.484,37527.0
0.488,37799.0
0.494,38072.0
0.498,38345.0
0.503,38617.0
0.507,38889.0
0.512,39159.0
0.517,39431.0
0.522,39701.0
0.527,39972.0
0.532,40245.0
0.537,40517.0
0.542,40788.0
0.548,41059.0
0.553,41330.0
0.559,41601.0
0.564,41873.0
0.57,42146.0
0.576,42416.0
0.581,42685.0
0.588,42956.0
0.593,43226.0
0.6,43497.0
0.606,43768.0
0.612,44038.0
0.617,44309.0
0.625,44581.0
0.631,44853.0
0.639,45122.0
0.646,45392.0
0.652,45663.0
0.659,45932.0
0.666,46204.0
0.674,46474.0
0.681,46746.0
0.689,47018.0
0.696,47292.0
0.704,47564.0
0.711,47836.0
0.719,48107.0
0.726,48382.0
0.735,48653.0
0.743,48925.0
0.75,49195.0
0.758,49467.0
0.765,49740.0
0.774,50011.0
0.781,50282.0
0.79,50555.0
0.798,50827.0
0.806,51097.0
0.814,51370.0
0.823,51641.0
0.833,51910.0
0.842,52181.0
0.851,52451.0
0.86,52723.0
0.869,52993.0
0.878,53264.0
0.888,53536.0
0.898,53806.0
0.907,54076.0
0.957,54346.0
0.978,54618.0
0.977,54888.0
0.991,55159.0
0.995,55430.0
1.009,55703.0
1.023,55976.0
1.031,56248.0
1.04,56519.0
1.053,56789.0
1.064,57063.0
1.07,57334.0
1.08,57613.0
1.159,57882.0
1.165,58154.0
1.169,58426.0
1.271,58694.0
1.255,58964.0
1.259,59234.0
1.236,59505.0
1.275,59776.0
1.285,60047.0
1.312,60319.0
1.306,60589.0
1.358,60859.0
1.347,61137.0
1.384,61409.0
1.4,61678.0
1.393,61950.0
1.404,62221.0
1.433,62493.0
1.466,62766.0
1.485,63037.0
1.495,63307.0
1.53,63578.0
1.529,63850.0
1.554,64120.0
1.616,64394.0
1.609,64664.0
1.632,64937.0
1.653,65207.0
1.686,65479.0
1.706,65749.0
1.729,66019.0
1.749,66290.0
1.819,66561.0
1.852,66833.0
1.953,67106.0
1.949,67377.0
2.085,67650.0
2.13,67923.0
2.303,68195.0
2.344,68466.0
2.347,68737.0
2.519,69008.0
2.511,69280.0
2.879,69549.0
3.054,69821.0
3.042,70094.0
3.097,70369.0
3.224,70643.0
3.345,70915.0
3.709,71188.0
3.717,71461.0
3.737,71734.0
4.024,72005.0
4.122,72282.0
4.354,72552.0
4.748,72823.0
5.264,73096.0
