Current (mA),Time (ms)
0.0,100.0
0.267,10296.0
0.423,10569.0
0.409,10840.0
0.441,11116.0
0.445,11390.0
0.522,11661.0
0.53,11933.0
0.554,12204.0
0.516,12476.0
0.605,12749.0
0.598,13020.0
0.593,13289.0
0.592,13562.0
0.615,13835.0
0.641,14108.0
0.549,14379.0
0.591,14654.0
0.59,14925.0
0.566,15195.0
0.579,15468.0
0.615,15739.0
0.65,16011.0
0.618,16283.0
0.644,16552.0
0.655,16822.0
0.659,17094.0
0.673,17365.0
0.672,17639.0
0.678,17911.0
0.688,18183.0
0.69,18456.0
0.698,18727.0
0.707,18998.0
0.715,19278.0
0.725,19550.0
0.733,19823.0
0.744,20096.0
0.757,20369.0
0.769,20642.0
0.783,20915.0
0.797,21188.0
0.812,21457.0
0.83,21730.0
0.847,22002.0
0.866,22273.0
0.885,22545.0
0.905,22819.0
0.925,23090.0
0.945,23365.0
0.966,23638.0
0.987,23911.0
1.009,24187.0
1.03,24458.0
1.051,24728.0
1.074,25001.0
1.096,25273.0
1.118,25546.0
1.14,25818.0
1.162,26088.0
1.183,26360.0
1.205,26631.0
1.226,26904.0
1.247,27174.0
1.269,27447.0
1.289,27719.0
1.309,27991.0
1.329,28261.0
1.347,28534.0
1.365,28807.0
1.385,29086.0
1.402,29357.0
1.42,29632.0
1.438,29905.0
1.453,30177.0
1.469,30449.0
1.484,30723.0
1.496,30993.0
1.508,31263.0
1.522,31532.0
1.533,31801.0
1.545,32074.0
1.555,32349.0
1.567,32621.0
1.577,32893.0
1.586,33166.0
1.596,33440.0
1.608,33713.0
1.619,33988.0
1.63,34261.0
1.662,34534.0
1.674,34831.0
1.686,35102.0
1.697,35374.0
1.713,35649.0
1.727,35920.0
1.745,36192.0
1.877,36462.0
1.958,36732.0
2.156,37005.0
2.152,37276.0
2.139,37548.0
2.222,37821.0
2.503,38093.0
2.66,38366.0
2.69,38636.0
2.864,38910.0
2.919,39179.0
3.049,39453.0
3.05,39726.0
3.3,39998.0
3.561,40273.0
3.544,40547.0
3.901,40819.0
3.977,41093.0
4.249,41369.0
4.708,41649.0
4.754,41924.0
5.109,42194.0
