Current (mA),Time (ms)
0.0,99.0
0.244,10290.0
0.256,10560.0
0.263,10833.0
0.262,11108.0
0.269,11383.0
0.227,11656.0
0.246,11928.0
0.234,12199.0
0.236,12471.0
0.243,12742.0
0.257,13013.0
0.25,13287.0
0.293,13559.0
0.262,13830.0
0.262,14101.0
0.272,14373.0
0.291,14648.0
0.272,14917.0
0.276,15189.0
0.281,15463.0
0.295,15737.0
0.292,16011.0
0.293,16286.0
0.296,16558.0
0.305,16829.0
0.303,17104.0
0.311,17376.0
0.313,17650.0
0.313,17921.0
0.316,18199.0
0.318,18470.0
0.325,18742.0
0.332,19012.0
0.331,19288.0
0.331,19560.0
0.332,19833.0
0.339,20104.0
0.346,20380.0
0.345,20648.0
0.348,20923.0
0.357,21192.0
0.355,21467.0
0.361,21739.0
0.364,22010.0
0.37,22281.0
0.374,22554.0
0.373,22827.0
0.378,23099.0
0.379,23371.0
0.387,23643.0
0.389,23915.0
0.397,24190.0
0.398,24464.0
0.401,24736.0
0.406,25007.0
0.407,25280.0
0.414,25554.0
0.419,25823.0
0.424,26096.0
0.426,26367.0
0.429,26642.0
0.436,26915.0
0.439,27186.0
0.44,27460.0
0.447,27733.0
0.451,28003.0
0.452,28272.0
0.457,28545.0
0.461,28817.0
0.465,29088.0
0.47,29357.0
0.473,29630.0
0.476,29901.0
0.481,30173.0
0.482,30445.0
0.489,30715.0
0.49,30985.0
0.497,31257.0
0.499,31530.0
0.504,31802.0
0.508,32074.0
0.513,32342.0
0.516,32615.0
0.52,32887.0
0.524,33158.0
0.529,33429.0
0.534,33702.0
0.54,33972.0
0.544,34244.0
0.551,34515.0
0.555,34784.0
0.564,35057.0
0.568,35331.0
0.575,35600.0
0.579,35873.0
0.586,36144.0
0.59,36418.0
0.598,36691.0
0.605,36962.0
0.611,37236.0
0.687,37507.0
0.751,37778.0
0.753,38049.0
0.835,38324.0
0.797,38598.0
0.867,38869.0
0.849,39138.0
0.928,39408.0
1.117,39682.0
1.149,40182.0
1.23,40452.0
1.277,40724.0
1.359,40999.0
1.613,41272.0
1.611,41544.0
1.831,41818.0
2.083,42093.0
2.482,42365.0
2.414,42639.0
2.871,42910.0
3.126,43185.0
3.308,43460.0
3.749,43732.0
4.242,44007.0
4.386,44278.0
4.407,44552.0
4.922,44828.0
4.944,45103.0
5.474,45372.0
