Current (mA),Time (ms)
0.0,2747.0
0.312,16854.0
0.335,20976.0
0.631,25056.0
0.815,29122.0
0.83,33206.0
0.81,37297.0
0.796,41404.0
0.791,45541.0
0.8,49686.0
0.809,53785.0
0.823,57860.0
0.842,61959.0
0.862,66090.0
0.892,70203.0
0.925,74305.0
0.946,78418.0
0.971,82593.0
0.996,86729.0
1.024,90838.0
1.035,94918.0
1.05,99027.0
1.063,103114.0
1.078,107230.0
1.084,111437.0
1.099,115584.0
1.093,119729.0
1.097,123877.0
1.099,128012.0
1.093,132139.0
1.092,136286.0
1.094,140390.0
1.079,144544.0
1.073,148681.0
1.065,152790.0
1.046,156886.0
1.036,161011.0
1.017,165121.0
1.001,169248.0
0.983,173346.0
0.966,177434.0
0.953,181559.0
0.939,185705.0
0.926,189803.0
0.912,193872.0
0.903,197970.0
0.894,202108.0
0.884,206296.0
0.877,210539.0
0.869,214765.0
0.868,218979.0
0.864,223153.0
0.86,227291.0
0.856,231499.0
0.857,235750.0
0.858,239960.0
0.857,244196.0
0.859,248414.0
0.861,252598.0
0.867,256745.0
0.874,260994.0
0.883,265226.0
0.891,269445.0
0.897,273662.0
0.903,277770.0
0.91,281873.0
0.918,286020.0
0.929,290227.0
0.94,294459.0
0.945,298713.0
0.95,302955.0
0.96,307190.0
0.967,311394.0
0.978,315557.0
0.986,319770.0
0.991,324011.0
1.004,328248.0
1.008,332461.0
1.02,336696.0
1.061,340932.0
1.068,345066.0
1.084,349251.0
1.107,353496.0
1.118,357735.0
1.128,361974.0
1.152,366184.0
1.16,370403.0
1.163,374587.0
1.18,378803.0
1.182,383022.0
1.21,387267.0
1.217,391514.0
1.229,395756.0
1.254,399978.0
1.293,404153.0
1.302,408356.0
1.308,412596.0
1.331,416813.0
1.337,421049.0
1.343,425277.0
1.358,429534.0
1.366,433706.0
1.417,437903.0
1.435,442138.0
1.445,446251.0
1.449,450337.0
1.467,454452.0
1.552,458677.0
1.619,462862.0
1.655,467042.0
1.736,471194.0
1.786,475346.0
1.85,479543.0
1.841,483757.0
1.905,487984.0
1.959,492184.0
1.98,496333.0
2.055,500549.0
2.074,504789.0
2.163,509019.0
2.24,513265.0
2.273,517504.0
2.345,521699.0
2.445,525845.0
2.5,530028.0
2.513,534265.0
2.561,538523.0
2.568,542742.0
2.59,546972.0
2.609,551166.0
2.601,555316.0
2.612,559522.0
2.677,563776.0
2.676,568016.0
2.795,572249.0
3.095,576481.0
3.168,580738.0
3.15,584879.0
3.368,589053.0
3.572,593284.0
3.672,597515.0
3.791,601746.0
3.93,605975.0
4.436,610213.0
4.582,614384.0
4.337,618479.0
4.459,622572.0
4.67,626774.0
4.972,631034.0
5.344,635276.0
