Current (mA),Time (ms)
0.0,3157.0
0.304,17187.0
0.321,21714.0
0.538,26046.0
0.9,30370.0
0.969,34741.0
0.902,39195.0
0.846,43333.0
0.816,47421.0
0.804,51546.0
0.805,55761.0
0.814,59865.0
0.828,64100.0
0.842,68191.0
0.867,72321.0
0.893,76491.0
0.921,80599.0
0.95,84680.0
0.973,88783.0
1.001,93005.0
1.018,97134.0
1.038,101246.0
1.056,105332.0
1.066,109427.0
1.071,113568.0
1.078,117657.0
1.083,121810.0
1.079,125863.0
1.072,129997.0
1.068,134092.0
1.061,138210.0
1.035,142292.0
1.022,146446.0
0.996,150555.0
0.964,154632.0
0.94,158734.0
0.91,162817.0
0.879,166957.0
0.849,171046.0
0.821,175163.0
0.792,179231.0
0.765,183351.0
0.741,187412.0
0.724,191545.0
0.705,195611.0
0.69,199682.0
0.677,203778.0
0.667,207952.0
0.656,212186.0
0.65,216263.0
0.646,220339.0
0.641,224427.0
0.638,228552.0
0.641,232809.0
0.639,236917.0
0.641,241010.0
0.641,245123.0
0.644,249224.0
0.646,253330.0
0.648,257476.0
0.654,261554.0
0.659,265647.0
0.664,269762.0
0.676,273873.0
0.686,277947.0
0.692,282054.0
0.697,286187.0
0.696,290299.0
0.702,294368.0
0.712,298479.0
0.72,302578.0
0.726,306700.0
0.826,310961.0
0.856,315053.0
0.862,319114.0
0.873,323222.0
0.906,327304.0
0.918,331442.0
0.927,335599.0
0.961,339692.0
1.091,343793.0
1.131,347908.0
1.154,352092.0
1.231,356216.0
1.32,360363.0
1.326,364482.0
1.415,368595.0
1.509,372705.0
1.551,376790.0
1.619,380920.0
1.706,384993.0
1.829,389046.0
1.829,393133.0
1.932,397216.0
2.093,401308.0
2.197,405402.0
2.236,409743.0
2.338,413906.0
2.471,417975.0
2.559,422048.0
2.723,426127.0
2.876,430278.0
3.022,434383.0
3.32,438480.0
3.408,442573.0
3.473,446650.0
3.643,450750.0
3.694,454849.0
3.867,458991.0
3.91,463065.0
4.176,467116.0
4.333,471205.0
4.421,475279.0
4.591,479334.0
4.863,483403.0
5.076,487494.0
