Current (mA),Time (ms)
0.0,94.0
3.88,10287.0
3.477,10556.0
3.226,10828.0
3.127,11100.0
3.045,11371.0
2.899,11641.0
2.758,11911.0
2.681,12182.0
2.64,12452.0
2.61,12723.0
2.582,12993.0
2.561,13264.0
2.546,13534.0
2.544,13803.0
2.553,14074.0
2.57,14343.0
2.594,14613.0
2.625,14884.0
2.666,15154.0
2.714,15423.0
2.765,15694.0
2.815,15964.0
2.863,16235.0
2.907,16505.0
2.945,16775.0
2.978,17046.0
3.012,17316.0
3.04,17587.0
3.062,17858.0
3.08,18129.0
3.096,18400.0
3.108,18670.0
3.114,18940.0
3.114,19212.0
3.115,19482.0
3.112,19758.0
3.105,20029.0
3.094,20299.0
3.079,20570.0
3.059,20841.0
3.039,21112.0
3.016,21384.0
2.989,21656.0
2.959,21927.0
2.929,22197.0
2.901,22467.0
2.874,22738.0
2.847,23008.0
2.821,23276.0
2.795,23546.0
2.766,23816.0
2.74,24087.0
2.714,24358.0
2.688,24629.0
2.662,24900.0
2.634,25169.0
2.608,25440.0
2.581,25710.0
2.552,25980.0
2.524,26251.0
2.493,26523.0
2.463,26793.0
2.431,27063.0
2.398,27333.0
2.365,27602.0
2.331,27873.0
2.299,28143.0
2.262,28414.0
2.226,28685.0
2.19,28954.0
2.156,29225.0
2.124,29496.0
2.091,29764.0
2.056,30034.0
2.021,30304.0
1.989,30573.0
1.958,30843.0
1.927,31114.0
1.898,31384.0
1.871,31654.0
1.845,31925.0
1.819,32194.0
1.795,32463.0
1.772,32731.0
1.749,33001.0
1.728,33271.0
1.707,33542.0
1.688,33812.0
1.668,34082.0
1.65,34354.0
1.633,34625.0
1.614,34896.0
1.594,35167.0
1.577,35437.0
1.561,35708.0
1.546,35978.0
1.531,36248.0
1.517,36518.0
1.503,36789.0
1.489,37058.0
1.475,37329.0
1.463,37599.0
1.451,37869.0
1.44,38139.0
1.429,38409.0
1.418,38680.0
1.407,38949.0
1.397,39220.0
1.387,39491.0
1.378,39761.0
1.369,40032.0
1.36,40301.0
1.352,40571.0
1.343,40842.0
1.335,41112.0
1.327,41382.0
1.319,41653.0
1.311,41923.0
1.304,42193.0
1.297,42464.0
1.29,42734.0
1.283,43004.0
1.277,43274.0
1.27,43545.0
1.264,43816.0
1.261,44087.0
1.256,44357.0
1.25,44628.0
1.244,44899.0
1.237,45169.0
1.232,45439.0
1.226,45708.0
1.219,45978.0
1.213,46249.0
1.207,46520.0
1.202,46789.0
1.197,47059.0
1.192,47328.0
1.186,47598.0
1.182,47868.0
1.177,48139.0
1.172,48410.0
1.168,48679.0
1.164,48948.0
1.16,49219.0
1.155,49489.0
1.151,49763.0
1.148,50034.0
1.144,50305.0
1.141,50576.0
1.138,50847.0
1.135,51117.0
1.131,51388.0
1.128,51659.0
1.126,51930.0
1.124,52200.0
1.123,52471.0
1.12,52742.0
1.117,53013.0
1.113,53284.0
1.11,53555.0
1.108,53824.0
1.107,54095.0
1.104,54366.0
1.101,54636.0
1.098,54907.0
1.095,55177.0
1.093,55448.0
1.09,55718.0
1.087,55989.0
1.083,56259.0
1.08,56530.0
1.077,56801.0
1.073,57072.0
1.07,57343.0
1.068,57614.0
1.066,57884.0
1.067,58153.0
1.066,58423.0
1.065,58693.0
1.064,58964.0
1.065,59234.0
1.066,59505.0
1.066,59776.0
1.064,60047.0
1.064,60318.0
1.063,60589.0
1.062,60859.0
1.063,61130.0
1.065,61401.0
1.07,61671.0
1.074,61941.0
1.073,62212.0
1.071,62483.0
1.068,62754.0
1.064,63024.0
1.061,63295.0
1.057,63566.0
1.056,63837.0
1.055,64108.0
1.054,64379.0
1.053,64650.0
1.051,64921.0
1.05,65192.0
1.049,65463.0
1.048,65734.0
1.047,66005.0
1.045,66275.0
1.042,66546.0
1.039,66817.0
1.038,67088.0
1.039,67358.0
1.042,67629.0
1.043,67900.0
1.045,68170.0
1.052,68441.0
1.058,68712.0
1.063,68980.0
1.07,69251.0
1.076,69521.0
1.082,69792.0
1.09,70063.0
1.094,70334.0
1.095,70605.0
1.095,70874.0
1.095,71144.0
1.093,71414.0
1.092,71685.0
1.091,71956.0
1.091,72227.0
1.092,72497.0
1.093,72768.0
1.093,73038.0
1.093,73309.0
1.097,73580.0
1.1,73851.0
1.104,74122.0
1.114,74392.0
1.123,74663.0
1.125,74934.0
1.125,75204.0
1.125,75475.0
1.128,75745.0
1.131,76016.0
1.134,76285.0
1.135,76556.0
1.134,76827.0
1.134,77098.0
1.133,77368.0
1.132,77638.0
1.129,77909.0
1.126,78180.0
1.124,78451.0
1.123,78722.0
1.122,78992.0
1.122,79263.0
1.129,79534.0
1.134,79803.0
1.142,80073.0
1.148,80342.0
1.154,80612.0
1.159,80883.0
1.162,81153.0
1.162,81423.0
1.16,81693.0
1.157,81963.0
1.157,82233.0
1.158,82503.0
1.161,82772.0
1.163,83043.0
1.165,83313.0
1.167,83583.0
