Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,21.314,7417100.0,-83.015
1200.0,20.918,6310360.0,-83.645
1250.0,20.738,6106840.0,-83.486
1500.0,19.858,5317510.0,-83.802
1600.0,20.03,4946510.0,-84.308
1660.0,20.116,4750940.0,-84.579
2000.0,20.525,3868730.0,-85.557
2400.0,20.479,3228800.0,-85.772
2500.0,20.482,3102620.0,-85.814
3000.0,20.365,2601320.0,-86.226
3200.0,20.35,2440580.0,-86.282
3330.0,20.342,2346410.0,-86.317
4000.0,20.302,1957460.0,-86.574
4800.0,20.101,1647920.0,-86.855
5000.0,20.061,1585520.0,-86.979
6000.0,19.955,1328420.0,-87.164
6400.0,19.91,1248260.0,-87.223
6660.0,19.883,1201160.0,-87.255
8000.0,19.768,1005850.0,-87.389
9600.0,19.759,838666.0,-87.609
10000.0,19.757,805284.0,-87.646
12000.0,19.597,676614.0,-87.766
12500.0,19.598,649527.0,-87.798
15000.0,19.596,541385.0,-87.925
16000.0,19.571,508180.0,-87.965
16600.0,19.558,490151.0,-87.985
20000.0,19.492,408224.0,-88.083
24000.0,19.422,341423.0,-88.154
25000.0,19.407,328020.0,-88.169
30000.0,19.366,273940.0,-88.267
32000.0,19.34,257164.0,-88.288
33300.0,19.325,247323.0,-88.3
40000.0,19.256,206642.0,-88.346
48000.0,19.202,172686.0,-88.395
50000.0,19.189,165880.0,-88.406
60000.0,19.144,138562.0,-88.452
64000.0,19.124,130038.0,-88.466
66600.0,19.111,125044.0,-88.476
80000.0,19.055,104407.0,-88.519
96000.0,19.006,87230.4,-88.551
100000.0,18.997,83778.9,-88.55
120000.0,18.954,69971.1,-88.551
125000.0,18.939,67227.5,-88.557
150000.0,18.874,56217.6,-88.599
160000.0,18.85,52769.5,-88.587
166000.0,18.837,50898.0,-88.579
200000.0,18.776,42380.4,-88.528
240000.0,18.748,35373.0,-88.644
250000.0,18.742,33969.2,-88.669
300000.0,18.706,28362.6,-88.686
320000.0,18.677,26631.4,-88.706
333000.0,18.659,25616.1,-88.719
400000.0,18.589,21406.1,-88.802
480000.0,18.608,17819.5,-88.7
500000.0,18.612,17102.3,-88.684
600000.0,18.591,14268.2,-88.679
640000.0,18.588,13378.9,-88.68
666000.0,18.586,12857.9,-88.679
800000.0,18.584,10705.0,-88.673
960000.0,18.611,8907.83,-88.653
1000000.0,18.621,8547.16,-88.649
