Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,14.965,10635900.0,-88.134
1200.0,14.722,9011920.0,-88.38
1250.0,14.572,8731290.0,-88.099
1500.0,13.847,7657960.0,-88.157
1600.0,14.056,7076690.0,-88.622
1660.0,14.166,6767170.0,-88.821
2000.0,14.711,5409690.0,-89.511
2400.0,14.781,4485610.0,-89.257
2500.0,14.809,4299200.0,-89.272
3000.0,14.801,3585160.0,-89.433
3200.0,14.821,3356140.0,-89.355
3330.0,14.835,3222230.0,-89.329
4000.0,14.89,2671910.0,-89.301
4800.0,14.775,2244070.0,-89.381
5000.0,14.757,2157390.0,-89.504
6000.0,14.73,1801060.0,-89.475
6400.0,14.712,1690640.0,-89.459
6660.0,14.7,1625820.0,-89.448
8000.0,14.655,1357570.0,-89.393
9600.0,14.713,1126850.0,-89.441
10000.0,14.726,1080950.0,-89.455
12000.0,14.625,906980.0,-89.427
12500.0,14.638,869914.0,-89.426
15000.0,14.69,722411.0,-89.413
16000.0,14.685,677482.0,-89.405
16600.0,14.681,653146.0,-89.4
20000.0,14.664,542740.0,-89.374
24000.0,14.639,453059.0,-89.334
25000.0,14.633,435099.0,-89.325
30000.0,14.633,362596.0,-89.331
32000.0,14.621,340207.0,-89.314
33300.0,14.614,327085.0,-89.306
40000.0,14.581,272896.0,-89.259
48000.0,14.562,227721.0,-89.228
50000.0,14.557,218685.0,-89.222
60000.0,14.542,182420.0,-89.197
64000.0,14.533,171129.0,-89.187
66600.0,14.527,164516.0,-89.181
80000.0,14.5,137211.0,-89.164
96000.0,14.479,114512.0,-89.138
100000.0,14.475,109956.0,-89.128
120000.0,14.456,91752.2,-89.066
125000.0,14.446,88141.7,-89.061
150000.0,14.403,73668.5,-89.064
160000.0,14.387,69142.0,-89.031
166000.0,14.378,66683.0,-89.011
200000.0,14.338,55502.2,-88.894
240000.0,14.329,46282.0,-89.008
250000.0,14.327,44435.4,-89.032
300000.0,14.308,37077.8,-89.014
320000.0,14.285,34817.6,-89.028
333000.0,14.271,33491.6,-89.038
400000.0,14.215,27994.0,-89.115
480000.0,14.246,23274.0,-88.956
500000.0,14.253,22331.5,-88.929
600000.0,14.24,18627.1,-88.898
640000.0,14.239,17463.9,-88.893
666000.0,14.238,16783.2,-88.885
800000.0,14.24,13969.8,-88.858
960000.0,14.262,11623.3,-88.82
1000000.0,14.27,11152.2,-88.812
