Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.958,9966290.000,-88.178
1200.000,15.712,8435510.000,-88.464
1250.000,15.569,8172520.000,-88.150
1500.000,14.839,7141880.000,-88.190
1600.000,15.045,6608620.000,-88.612
1660.000,15.166,6323110.000,-88.849
2000.000,15.698,5068650.000,-89.467
2400.000,15.773,4199000.000,-89.258
2500.000,15.797,4029770.000,-89.246
3000.000,15.786,3360600.000,-89.400
3200.000,15.805,3146250.000,-89.332
3330.000,15.820,3021070.000,-89.299
4000.000,15.876,2506440.000,-89.289
4800.000,15.758,2103860.000,-89.356
5000.000,15.736,2022830.000,-89.465
6000.000,15.707,1688700.000,-89.440
6400.000,15.688,1585070.000,-89.425
6660.000,15.677,1524290.000,-89.416
8000.000,15.629,1272880.000,-89.366
9600.000,15.689,1056710.000,-89.419
10000.000,15.697,1013870.000,-89.423
12000.000,15.595,850500.000,-89.404
12500.000,15.607,815798.000,-89.400
15000.000,15.657,677668.000,-89.389
16000.000,15.650,635572.000,-89.383
16600.000,15.647,612755.000,-89.379
20000.000,15.628,509196.000,-89.359
24000.000,15.600,425044.000,-89.325
25000.000,15.594,408225.000,-89.314
30000.000,15.593,340232.000,-89.323
32000.000,15.580,319208.000,-89.310
33300.000,15.573,306898.000,-89.302
40000.000,15.539,256044.000,-89.262
48000.000,15.518,213655.000,-89.238
50000.000,15.513,205174.000,-89.232
60000.000,15.498,171153.000,-89.211
64000.000,15.488,160559.000,-89.202
66600.000,15.482,154349.000,-89.199
80000.000,15.454,128724.000,-89.187
96000.000,15.433,107434.000,-89.162
100000.000,15.429,103152.000,-89.156
120000.000,15.408,86071.000,-89.099
125000.000,15.399,82678.300,-89.095
150000.000,15.355,69093.800,-89.100
160000.000,15.339,64842.500,-89.070
166000.000,15.330,62534.800,-89.052
200000.000,15.288,52037.300,-88.949
240000.000,15.281,43394.900,-89.053
250000.000,15.279,41662.900,-89.076
300000.000,15.260,34762.600,-89.062
320000.000,15.237,32638.900,-89.075
333000.000,15.223,31393.500,-89.085
400000.000,15.167,26229.200,-89.158
480000.000,15.201,21811.100,-89.010
500000.000,15.208,20928.300,-88.984
600000.000,15.196,17453.700,-88.956
640000.000,15.196,16362.900,-88.951
666000.000,15.196,15724.100,-88.945
800000.000,15.201,13086.300,-88.918
960000.000,15.227,10886.500,-88.884
1000000.000,15.236,10444.700,-88.879
#,#,#,#
