Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,16.993,9354170.0,-89.355
1200.0,16.128,8139430.0,-83.171
1250.0,15.966,7927650.0,-83.216
1500.0,15.139,6996620.0,-85.492
1600.0,15.417,6444740.0,-87.311
1660.0,15.634,6135360.0,-88.175
2000.0,16.797,4736680.0,-89.949
2400.0,16.794,3948330.0,-89.032
2500.0,16.828,3781740.0,-88.877
3000.0,16.669,3182870.0,-90.728
3200.0,16.641,2988570.0,-90.254
3330.0,16.643,2871700.0,-89.962
4000.0,16.768,2372730.0,-88.922
4800.0,16.72,1982340.0,-89.003
5000.0,16.711,1904650.0,-89.03
6000.0,16.768,1581750.0,-89.167
6400.0,16.744,1485030.0,-89.167
6660.0,16.729,1428400.0,-89.169
8000.0,16.667,1193700.0,-89.178
9600.0,16.639,996453.0,-89.464
10000.0,16.635,956772.0,-89.542
12000.0,16.588,799551.0,-89.355
12500.0,16.595,767234.0,-89.368
15000.0,16.623,638295.0,-89.426
16000.0,16.611,598826.0,-89.35
16600.0,16.605,577399.0,-89.304
20000.0,16.583,479845.0,-89.045
24000.0,16.53,401159.0,-89.245
25000.0,16.52,385358.0,-89.299
30000.0,16.562,320301.0,-89.223
32000.0,16.532,300849.0,-89.41
33300.0,16.52,289324.0,-89.546
40000.0,16.542,240549.0,-90.274
48000.0,16.484,201150.0,-89.545
50000.0,16.484,193109.0,-89.38
60000.0,16.424,161509.0,-89.237
64000.0,16.414,151503.0,-89.222
66600.0,16.408,145645.0,-89.214
80000.0,16.378,121464.0,-89.18
96000.0,16.357,101351.0,-89.197
100000.0,16.354,97316.7,-89.196
120000.0,16.326,81234.5,-89.183
125000.0,16.325,77989.9,-89.175
150000.0,16.319,65018.0,-89.143
160000.0,16.299,61024.0,-89.13
166000.0,16.288,58860.4,-89.117
200000.0,16.237,49004.9,-89.073
240000.0,16.214,40897.7,-89.063
250000.0,16.209,39274.9,-89.058
300000.0,16.174,32797.9,-89.041
320000.0,16.173,30750.3,-89.052
333000.0,16.173,29550.8,-89.058
400000.0,16.169,24605.1,-89.082
480000.0,16.146,20533.8,-89.002
500000.0,16.142,19718.6,-88.981
600000.0,16.125,16448.9,-88.981
640000.0,16.127,15418.7,-88.979
666000.0,16.129,14815.2,-88.977
800000.0,16.14,12324.9,-88.97
960000.0,16.163,10256.0,-88.929
1000000.0,16.459,9668.92,-88.924
