Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.404,9699690.000,-89.987
1200.000,15.573,8459650.000,-83.410
1250.000,15.384,8227090.000,-83.570
1500.000,14.558,7261410.000,-85.694
1600.000,14.868,6685900.000,-87.781
1660.000,15.071,6356830.000,-88.737
2000.000,16.250,4896260.000,-90.358
2400.000,16.285,4074480.000,-89.378
2500.000,16.299,3905760.000,-89.223
3000.000,16.146,3285370.000,-91.097
3200.000,16.125,3084180.000,-90.603
3330.000,16.127,2963730.000,-90.299
4000.000,16.259,2447440.000,-89.183
4800.000,16.220,2044200.000,-89.253
5000.000,16.210,1963390.000,-89.264
6000.000,16.274,1629910.000,-89.386
6400.000,16.251,1530200.000,-89.377
6660.000,16.237,1471750.000,-89.374
8000.000,16.179,1229620.000,-89.371
9600.000,16.157,1026240.000,-89.644
10000.000,16.154,985282.000,-89.716
12000.000,16.111,823234.000,-89.505
12500.000,16.120,789881.000,-89.519
15000.000,16.151,656945.000,-89.564
16000.000,16.141,616265.000,-89.481
16600.000,16.135,594210.000,-89.435
20000.000,16.117,493722.000,-89.154
24000.000,16.067,412722.000,-89.348
25000.000,16.058,396446.000,-89.403
30000.000,16.103,329441.000,-89.316
32000.000,16.075,309417.000,-89.507
33300.000,16.062,297563.000,-89.644
40000.000,16.087,247334.000,-90.386
48000.000,16.032,206822.000,-89.630
50000.000,16.032,198544.000,-89.459
60000.000,15.975,166043.000,-89.306
64000.000,15.966,155753.000,-89.291
66600.000,15.960,149729.000,-89.281
80000.000,15.933,124860.000,-89.241
96000.000,15.915,104170.000,-89.255
100000.000,15.911,100025.000,-89.253
120000.000,15.886,83485.300,-89.243
125000.000,15.885,80148.900,-89.233
150000.000,15.881,66810.500,-89.199
160000.000,15.862,62706.700,-89.183
166000.000,15.852,60481.000,-89.175
200000.000,15.803,50358.300,-89.129
240000.000,15.781,42022.800,-89.112
250000.000,15.776,40351.800,-89.109
300000.000,15.744,33693.900,-89.093
320000.000,15.744,31588.600,-89.100
333000.000,15.743,30355.900,-89.106
400000.000,15.742,25274.000,-89.129
480000.000,15.719,21091.200,-89.048
500000.000,15.715,20252.900,-89.028
600000.000,15.699,16895.200,-89.025
640000.000,15.701,15836.500,-89.024
666000.000,15.703,15216.900,-89.023
800000.000,15.714,12659.000,-89.015
960000.000,15.735,10535.100,-88.972
1000000.000,16.029,9928.120,-88.973
#,#,#,#
