Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.912,9407920.000,-89.151
1200.000,16.065,8192800.000,-82.885
1250.000,15.865,7961600.000,-82.996
1500.000,15.031,7026050.000,-85.046
1600.000,15.333,6482510.000,-87.157
1660.000,15.529,6166340.000,-88.082
2000.000,16.698,4765320.000,-89.787
2400.000,16.696,3970710.000,-88.875
2500.000,16.727,3804910.000,-88.734
3000.000,16.562,3203000.000,-90.597
3200.000,16.539,3007450.000,-90.123
3330.000,16.537,2890290.000,-89.835
4000.000,16.658,2388540.000,-88.790
4800.000,16.609,1996010.000,-88.879
5000.000,16.598,1917570.000,-88.912
6000.000,16.653,1592880.000,-89.060
6400.000,16.627,1495620.000,-89.062
6660.000,16.612,1438550.000,-89.065
8000.000,16.546,1202280.000,-89.086
9600.000,16.516,1003850.000,-89.383
10000.000,16.510,964014.000,-89.452
12000.000,16.461,805709.000,-89.265
12500.000,16.467,773177.000,-89.279
15000.000,16.493,643339.000,-89.343
16000.000,16.480,603562.000,-89.270
16600.000,16.474,581993.000,-89.225
20000.000,16.449,483742.000,-88.966
24000.000,16.395,404486.000,-89.169
25000.000,16.384,388564.000,-89.225
30000.000,16.424,323006.000,-89.151
32000.000,16.393,303400.000,-89.343
33300.000,16.381,291792.000,-89.479
40000.000,16.401,242633.000,-90.217
48000.000,16.341,202912.000,-89.483
50000.000,16.340,194800.000,-89.318
60000.000,16.279,162939.000,-89.174
64000.000,16.268,152858.000,-89.161
66600.000,16.261,146949.000,-89.152
80000.000,16.230,122570.000,-89.121
96000.000,16.207,102282.000,-89.141
100000.000,16.204,98214.400,-89.139
120000.000,16.174,81991.800,-89.130
125000.000,16.173,78719.800,-89.121
150000.000,16.165,65633.600,-89.090
160000.000,16.144,61606.300,-89.078
166000.000,16.131,59420.500,-89.069
200000.000,16.077,49478.500,-89.026
240000.000,16.050,41296.700,-89.014
250000.000,16.042,39658.700,-89.012
300000.000,16.013,33122.400,-88.998
320000.000,16.011,31054.400,-89.006
333000.000,16.006,29844.600,-89.013
400000.000,16.004,24853.300,-89.037
480000.000,15.980,20742.900,-88.960
500000.000,15.976,19919.300,-88.941
600000.000,15.959,16618.800,-88.941
640000.000,15.961,15578.400,-88.941
666000.000,15.962,14969.300,-88.940
800000.000,15.972,12454.600,-88.934
960000.000,15.992,10365.800,-88.893
1000000.000,16.285,9772.070,-88.888
#,#,#,#
