Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.119,9875670.000,-90.082
1200.000,15.290,8619420.000,-83.397
1250.000,15.097,8379350.000,-83.536
1500.000,14.281,7408300.000,-85.683
1600.000,14.587,6816030.000,-87.816
1660.000,14.795,6480630.000,-88.773
2000.000,15.974,4982470.000,-90.429
2400.000,16.005,4145290.000,-89.408
2500.000,16.021,3973360.000,-89.258
3000.000,15.868,3342980.000,-91.165
3200.000,15.850,3138780.000,-90.646
3330.000,15.851,3015610.000,-90.340
4000.000,15.983,2489960.000,-89.195
4800.000,15.947,2079410.000,-89.259
5000.000,15.936,1997620.000,-89.269
6000.000,16.000,1658100.000,-89.387
6400.000,15.976,1556760.000,-89.380
6660.000,15.963,1497270.000,-89.376
8000.000,15.904,1250980.000,-89.357
9600.000,15.883,1044150.000,-89.642
10000.000,15.879,1002460.000,-89.721
12000.000,15.837,837613.000,-89.498
12500.000,15.845,803688.000,-89.511
15000.000,15.876,668400.000,-89.553
16000.000,15.866,627038.000,-89.469
16600.000,15.860,604603.000,-89.419
20000.000,15.841,502370.000,-89.129
24000.000,15.792,419974.000,-89.327
25000.000,15.782,403419.000,-89.380
30000.000,15.827,335261.000,-89.285
32000.000,15.798,315181.000,-89.481
33300.000,15.785,303233.000,-89.617
40000.000,15.810,252067.000,-90.369
48000.000,15.753,210749.000,-89.596
50000.000,15.754,202328.000,-89.421
60000.000,15.695,169271.000,-89.260
64000.000,15.685,158691.000,-89.242
66600.000,15.679,152516.000,-89.232
80000.000,15.651,127194.000,-89.188
96000.000,15.631,106136.000,-89.199
100000.000,15.627,101915.000,-89.195
120000.000,15.600,85074.500,-89.183
125000.000,15.600,81676.000,-89.172
150000.000,15.593,68093.500,-89.134
160000.000,15.574,63914.000,-89.118
166000.000,15.563,61644.700,-89.106
200000.000,15.511,51335.000,-89.055
240000.000,15.487,42845.700,-89.036
250000.000,15.482,41146.300,-89.032
300000.000,15.447,34364.400,-89.009
320000.000,15.445,32219.400,-89.018
333000.000,15.444,30964.000,-89.020
400000.000,15.439,25785.200,-89.043
480000.000,15.412,21511.100,-88.958
500000.000,15.407,20657.800,-88.936
600000.000,15.384,17238.500,-88.930
640000.000,15.384,16161.500,-88.930
666000.000,15.384,15530.800,-88.927
800000.000,15.388,12927.000,-88.916
960000.000,15.396,10766.400,-88.876
1000000.000,15.686,10144.700,-88.882
#,#,#,#
