Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,14.622,10875500.0,-88.196
1200.0,14.386,9223980.0,-88.443
1250.0,14.239,8937970.0,-88.132
1500.0,13.51,7848890.0,-88.189
1600.0,13.721,7248640.0,-88.653
1660.0,13.832,6931490.0,-88.897
2000.0,14.381,5534550.0,-89.572
2400.0,14.46,4582010.0,-89.392
2500.0,14.482,4395580.0,-89.336
3000.0,14.477,3665100.0,-89.502
3200.0,14.497,3430600.0,-89.431
3330.0,14.513,3293370.0,-89.398
4000.0,14.574,2730870.0,-89.373
4800.0,14.46,2293360.0,-89.46
5000.0,14.441,2204610.0,-89.571
6000.0,14.415,1840360.0,-89.543
6400.0,14.398,1727320.0,-89.528
6660.0,14.387,1661090.0,-89.52
8000.0,14.344,1387150.0,-89.459
9600.0,14.405,1151130.0,-89.513
10000.0,14.417,1104140.0,-89.528
12000.0,14.319,926457.0,-89.502
12500.0,14.332,888554.0,-89.501
15000.0,14.387,737901.0,-89.489
16000.0,14.382,691761.0,-89.482
16600.0,14.379,666900.0,-89.477
20000.0,14.365,554066.0,-89.453
24000.0,14.342,462450.0,-89.413
25000.0,14.337,444113.0,-89.404
30000.0,14.34,370021.0,-89.414
32000.0,14.329,347149.0,-89.399
33300.0,14.322,333751.0,-89.389
40000.0,14.293,278420.0,-89.346
48000.0,14.276,232286.0,-89.316
50000.0,14.273,223050.0,-89.309
60000.0,14.261,186024.0,-89.284
64000.0,14.253,174501.0,-89.275
66600.0,14.248,167750.0,-89.27
80000.0,14.224,139884.0,-89.253
96000.0,14.207,116716.0,-89.229
100000.0,14.203,112066.0,-89.214
120000.0,14.187,93496.2,-89.149
125000.0,14.178,89814.3,-89.145
150000.0,14.138,75052.2,-89.148
160000.0,14.123,70435.4,-89.115
166000.0,14.115,67926.9,-89.094
200000.0,14.078,56525.9,-88.975
240000.0,14.071,47127.0,-89.088
250000.0,14.07,45244.5,-89.112
300000.0,14.054,37746.8,-89.092
320000.0,14.031,35444.9,-89.107
333000.0,14.018,34094.1,-89.117
400000.0,13.964,28494.7,-89.196
480000.0,13.998,23685.3,-89.032
500000.0,14.006,22725.7,-89.004
600000.0,13.995,18954.2,-88.972
640000.0,13.994,17770.9,-88.966
666000.0,13.994,17078.0,-88.958
800000.0,13.997,14214.5,-88.931
960000.0,14.02,11826.1,-88.896
1000000.0,14.028,11346.5,-88.894
