Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,16.607,9577510.0,-89.848
1200.0,15.771,8345670.0,-83.354
1250.0,15.601,8116440.0,-83.523
1500.0,14.804,7146440.0,-85.491
1600.0,15.068,6596310.0,-87.629
1660.0,15.271,6279070.0,-88.617
2000.0,16.447,4838560.0,-90.21
2400.0,16.472,4027020.0,-89.224
2500.0,16.485,3862340.0,-89.07
3000.0,16.32,3250220.0,-90.918
3200.0,16.299,3051030.0,-90.413
3330.0,16.302,2932370.0,-90.121
4000.0,16.426,2422600.0,-89.016
4800.0,16.382,2024360.0,-89.081
5000.0,16.369,1944470.0,-89.094
6000.0,16.427,1614780.0,-89.208
6400.0,16.401,1516260.0,-89.203
6660.0,16.385,1458310.0,-89.2
8000.0,16.322,1218900.0,-89.19
9600.0,16.293,1017470.0,-89.468
10000.0,16.288,977108.0,-89.538
12000.0,16.24,816677.0,-89.327
12500.0,16.247,783687.0,-89.342
15000.0,16.273,652038.0,-89.391
16000.0,16.259,611748.0,-89.309
16600.0,16.253,589880.0,-89.262
20000.0,16.229,490290.0,-88.983
24000.0,16.174,410001.0,-89.177
25000.0,16.163,393858.0,-89.231
30000.0,16.202,327415.0,-89.143
32000.0,16.171,307551.0,-89.333
33300.0,16.158,295792.0,-89.472
40000.0,16.177,245969.0,-90.209
48000.0,16.117,205735.0,-89.456
50000.0,16.115,197511.0,-89.286
60000.0,16.052,165233.0,-89.13
64000.0,16.041,155012.0,-89.117
66600.0,16.034,149028.0,-89.108
80000.0,16.001,124320.0,-89.068
96000.0,15.977,103761.0,-89.081
100000.0,15.972,99635.3,-89.078
120000.0,15.941,83191.9,-89.063
125000.0,15.939,79873.7,-89.053
150000.0,15.929,66606.0,-89.018
160000.0,15.908,62522.0,-89.001
166000.0,15.896,60308.0,-88.999
200000.0,15.841,50226.6,-88.942
240000.0,15.814,41929.1,-88.931
250000.0,15.808,40268.0,-88.927
300000.0,15.769,33637.0,-88.905
320000.0,15.767,31539.6,-88.913
333000.0,15.765,30312.0,-88.92
400000.0,15.758,25245.5,-88.942
480000.0,15.73,21075.7,-88.861
500000.0,15.725,20239.5,-88.841
600000.0,15.703,16889.5,-88.839
640000.0,15.703,15833.2,-88.838
666000.0,15.704,15214.7,-88.836
800000.0,15.71,12661.0,-88.828
960000.0,15.727,10539.5,-88.786
1000000.0,16.021,9932.31,-88.783
