Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,15.941,9989680.0,-90.002
1200.0,15.09,8723760.0,-83.241
1250.0,14.905,8483870.0,-83.377
1500.0,14.1,7512840.0,-85.506
1600.0,14.383,6909860.0,-87.713
1660.0,14.588,6560530.0,-88.688
2000.0,15.769,5046950.0,-90.381
2400.0,15.789,4197670.0,-89.403
2500.0,15.813,4024940.0,-89.177
3000.0,15.66,3387040.0,-91.09
3200.0,15.636,3180290.0,-90.582
3330.0,15.638,3055930.0,-90.264
4000.0,15.769,2522860.0,-89.111
4800.0,15.729,2107870.0,-89.17
5000.0,15.718,2025030.0,-89.183
6000.0,15.777,1680990.0,-89.31
6400.0,15.755,1578410.0,-89.299
6660.0,15.741,1518080.0,-89.299
8000.0,15.677,1268710.0,-89.281
9600.0,15.653,1059080.0,-89.575
10000.0,15.651,1016860.0,-89.642
12000.0,15.605,849829.0,-89.424
12500.0,15.614,815416.0,-89.438
15000.0,15.643,678238.0,-89.485
16000.0,15.633,636304.0,-89.401
16600.0,15.626,613539.0,-89.35
20000.0,15.605,509885.0,-89.06
24000.0,15.553,426337.0,-89.261
25000.0,15.544,409533.0,-89.317
30000.0,15.587,340338.0,-89.226
32000.0,15.557,319694.0,-89.424
33300.0,15.545,307460.0,-89.566
40000.0,15.567,255586.0,-90.335
48000.0,15.51,213776.0,-89.554
50000.0,15.51,205218.0,-89.377
60000.0,15.451,171671.0,-89.216
64000.0,15.441,161041.0,-89.201
66600.0,15.434,154814.0,-89.191
80000.0,15.406,129121.0,-89.15
96000.0,15.385,107745.0,-89.165
100000.0,15.382,103461.0,-89.163
120000.0,15.354,86370.6,-89.156
125000.0,15.354,82920.3,-89.145
150000.0,15.347,69127.9,-89.109
160000.0,15.328,64888.9,-89.092
166000.0,15.317,62586.5,-89.085
200000.0,15.266,52118.6,-89.037
240000.0,15.243,43501.0,-89.021
250000.0,15.237,41774.5,-89.018
300000.0,15.204,34889.2,-88.998
320000.0,15.203,32710.9,-89.007
333000.0,15.202,31435.9,-89.011
400000.0,15.198,26176.6,-89.037
480000.0,15.174,21848.3,-88.952
500000.0,15.169,20980.5,-88.931
600000.0,15.151,17505.2,-88.928
640000.0,15.153,16409.2,-88.927
666000.0,15.153,15767.6,-88.925
800000.0,15.163,13118.6,-88.916
960000.0,15.181,10918.9,-88.87
1000000.0,15.464,10290.5,-88.873
