Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,13.028,12212000.0,-90.297
1200.0,12.207,10756300.0,-81.964
1250.0,12.02,10490900.0,-82.134
1500.0,11.2,9421360.0,-84.752
1600.0,11.512,8633470.0,-87.468
1660.0,11.721,8179890.0,-88.651
2000.0,12.904,6167270.0,-90.728
2400.0,12.924,5131710.0,-89.49
2500.0,12.957,4913370.0,-89.274
3000.0,12.806,4140380.0,-91.623
3200.0,12.787,3888370.0,-90.994
3330.0,12.791,3736070.0,-90.611
4000.0,12.928,3077080.0,-89.201
4800.0,12.897,2571010.0,-89.264
5000.0,12.886,2469660.0,-89.299
6000.0,12.955,2047140.0,-89.44
6400.0,12.934,1922480.0,-89.431
6660.0,12.921,1849250.0,-89.427
8000.0,12.867,1546080.0,-89.424
9600.0,12.85,1290260.0,-89.775
10000.0,12.848,1238720.0,-89.857
12000.0,12.81,1035230.0,-89.596
12500.0,12.82,993128.0,-89.609
15000.0,12.856,825255.0,-89.669
16000.0,12.848,774180.0,-89.567
16600.0,12.843,746444.0,-89.508
20000.0,12.83,620140.0,-89.159
24000.0,12.786,518589.0,-89.407
25000.0,12.779,498155.0,-89.476
30000.0,12.829,413481.0,-89.372
32000.0,12.802,388467.0,-89.614
33300.0,12.792,373626.0,-89.787
40000.0,12.823,310256.0,-90.724
48000.0,12.774,259557.0,-89.781
50000.0,12.776,249143.0,-89.567
60000.0,12.725,208438.0,-89.38
64000.0,12.718,195521.0,-89.361
66600.0,12.713,187958.0,-89.351
80000.0,12.693,156717.0,-89.307
96000.0,12.682,130716.0,-89.329
100000.0,12.68,125506.0,-89.326
120000.0,12.662,104741.0,-89.32
125000.0,12.662,100541.0,-89.308
150000.0,12.665,83767.8,-89.269
160000.0,12.649,78632.7,-89.25
166000.0,12.64,75844.7,-89.24
200000.0,12.598,63159.5,-89.185
240000.0,12.582,52698.7,-89.169
250000.0,12.579,50603.9,-89.165
300000.0,12.554,42253.6,-89.146
320000.0,12.556,39606.7,-89.155
333000.0,12.556,38058.5,-89.16
400000.0,12.56,31674.5,-89.189
480000.0,12.542,26432.9,-89.093
500000.0,12.539,25382.3,-89.068
600000.0,12.525,21174.2,-89.068
640000.0,12.528,19846.7,-89.069
666000.0,12.53,19069.9,-89.064
800000.0,12.54,15861.9,-89.059
960000.0,12.558,13199.5,-89.009
1000000.0,12.845,12388.0,-89.016
