Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.0,13.142,12105700.0,-90.307
1200.0,12.319,10658000.0,-82.023
1250.0,12.133,10400400.0,-82.176
1500.0,11.314,9336510.0,-84.78
1600.0,11.624,8547950.0,-87.459
1660.0,11.833,8104080.0,-88.649
2000.0,13.016,6115260.0,-90.73
2400.0,13.033,5088590.0,-89.511
2500.0,13.066,4870930.0,-89.267
3000.0,12.918,4105140.0,-91.607
3200.0,12.899,3855120.0,-90.967
3330.0,12.903,3704140.0,-90.597
4000.0,13.038,3051060.0,-89.194
4800.0,13.004,2549830.0,-89.259
5000.0,12.996,2448990.0,-89.292
6000.0,13.064,2030160.0,-89.424
6400.0,13.043,1906440.0,-89.421
6660.0,13.031,1833800.0,-89.416
8000.0,12.974,1533300.0,-89.408
9600.0,12.959,1279300.0,-89.749
10000.0,12.956,1228420.0,-89.842
12000.0,12.919,1026710.0,-89.581
12500.0,12.928,984861.0,-89.598
15000.0,12.963,818453.0,-89.656
16000.0,12.955,767803.0,-89.555
16600.0,12.951,740306.0,-89.495
20000.0,12.937,615054.0,-89.147
24000.0,12.893,514330.0,-89.393
25000.0,12.884,494069.0,-89.465
30000.0,12.935,410121.0,-89.36
32000.0,12.908,385289.0,-89.599
33300.0,12.897,370578.0,-89.771
40000.0,12.927,307770.0,-90.7
48000.0,12.879,257458.0,-89.765
50000.0,12.88,247124.0,-89.552
60000.0,12.829,206753.0,-89.365
64000.0,12.822,193940.0,-89.345
66600.0,12.817,186437.0,-89.336
80000.0,12.797,155450.0,-89.289
96000.0,12.785,129662.0,-89.311
100000.0,12.783,124495.0,-89.309
120000.0,12.764,103898.0,-89.299
125000.0,12.765,99735.0,-89.288
150000.0,12.767,83098.3,-89.246
160000.0,12.751,78004.6,-89.228
166000.0,12.742,75237.1,-89.217
200000.0,12.7,62652.5,-89.158
240000.0,12.683,52278.0,-89.137
250000.0,12.68,50199.3,-89.133
300000.0,12.655,41916.3,-89.11
320000.0,12.656,39291.2,-89.116
333000.0,12.656,37755.1,-89.121
400000.0,12.659,31422.7,-89.143
480000.0,12.642,26223.0,-89.038
500000.0,12.639,25180.8,-89.012
600000.0,12.625,21006.3,-89.001
640000.0,12.628,19689.4,-88.998
666000.0,12.629,18918.7,-88.99
800000.0,12.64,15736.4,-88.971
960000.0,12.658,13095.2,-88.906
1000000.0,12.945,12292.1,-88.91
